client_code,client_name
CL0001,在庫調整
CL0002,コスモス調剤薬局四軒家店
CL0003,スギ薬局六田店
CL0004,ほおずき薬局
CL0005,おかざき調剤薬局
CL0006,イワシヤ調剤薬局緑丘店
CL0007,イワシヤ薬局
CL0008,エイト薬局おおの店
CL0009,稲沢中央調剤薬局
CL0010,みどり薬局
CL0011,キョーワ調剤薬局池上台店
CL0012,けんこう薬局
CL0013,くるみ薬局みどり区役所店
CL0014,スギ薬局弥富通店
CL0015,こいえ薬局
CL0016,たんぽぽ薬局大高店
CL0017,セリオ薬局桜井店
CL0018,きまた薬局
CL0019,岡田内科クリニック
CL0020,薬局はーばす　平針店
CL0021,スギ薬局鳴海店
CL0022,中部薬品潮見が丘薬局
CL0023,あるぷす薬局
CL0024,キョーワ調剤薬局　みどり藤塚店
CL0025,はまべ調剤薬局
CL0026,いとう薬局吉良店
CL0027,わかば薬局　大高店
CL0028,樋口薬局
CL0029,あかつき調剤薬局
CL0030,フカヤ薬局森の里店
CL0031,V・drug潮見が丘薬局
CL0032,きのはな調剤薬局
CL0033,ウエルシア薬局名古屋曽根店
CL0034,けんこう堂薬局鳴子店
CL0035,ツジ薬局名緑店
CL0036,ベル薬局
CL0037,B&Dドラッグストア篭山店
CL0038,株式会社　名西薬品
CL0039,徳重ひかり薬局
CL0040,フォレスト調剤薬局　鳴海店
CL0041,げんき堂薬局　神沢店
CL0042,フラワー調剤薬局
CL0043,もろのき調剤薬局
CL0044,あいかわ薬局
CL0045,スギ薬局滝ノ水店
