S20902020014 05262978172547240626050232128128          0526297817                                                               
D201202406260990459   0114987138806239ÂÑ×062ÎÞ³Ì³Â³¼Ö³»Ý        (62)2.5GX189Î³00001000005928000005928000065212705  X07111       
D201202406260990459   0214987188415832Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001088000001088000011972604  B501Y        
D201202406260990998   0114987901007108¿×ÅÂ¸½0.4MG¼ÞÖ³      0.4MG PTP      100T00002000000536000001072000005902603  HM6150       
D201202406260990999   0114987028201397ÙÈ½À¼ÞÖ³2MG            2MG PTP      100T00001000004724000004724000052802609  42A34K       
D201202406260991000   0114987116530187´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      500T00001000022361000022361000251002608  P2224        
D201202406260991000   0214987213021304·Ö³ØÖ¸Îß½ÃØ»ÞÝ(ÅÝº³)               2GX5000001000001849000001849000020402602  FA04S        
D201202406260991000   0314987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000015458000015458000170402610  24006Y1      
D201202406260991000   0414987138806840ÂÑ×068¼Ô¸Ô¸¶Ý¿Þ³Ä³        (68) 2.5GX3X1400002000000993000001986000010922703  W45261       
D201202406260991000   0514987155262070ÅÌÄËß¼ÞÙOD¼ÞÖ³25MG¢Ä  25MG PTP      100T00001000000918000000918000010102610  B0130        
D201202406260991001   0114987081185740Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³20MG¢D  20MG PTP      100T00001000000972000000972000010702607  20133        
D201202406260991001   0214987901130509ÌßÚ¶ÞÊÞØÝOD¼ÞÖ³75MG¢  75MG PTP      100T00001000001898000001898000020902609  HM5883       
D201202406260991001   0314987770513007ØÊÞÛ¼ÞÖ³1MG            1MG PTP      100T00001000002178000002178000025402611  MN4W         
D201202406260991001   0414987080303916ØÏÌßÛ½Ä±ÙÌ±ÃÞ¸½¼ÞÖ³5   5UG PTP      100T00001000000990000000990000010902609  223Z01       
E200000150000132406260502                                                                                                       
