S20901660013 05262978170000240703100200128128          0526297817                                                               
D2012024070343342     0114987123416627ÎÞ¸ÞØÎÞ-½ OD¼ÞÖ³ 0.3£ PTP  0.3MG    100T00001000000851000000851000010102609  JK061        
D2012024070343342     0214987376055710±ÑÛ¼ÞËßÝ ¼ÞÖ³ 5MG ¢Æ  PTP    5MG    100T00001000000900000000900000010102603  I00300       
D2012024070343342     0314987123871051´ÍßØ¿ÞÝ´Ý»Ý´Ý ¼ÞÖ³ 5  PTP   50MG    100T00001000000526000000526000005902606  GA0615       
D2012024070343342     0414987123872829¼Û½À¿Þ-Ù ¼ÞÖ³ 100MG   PTP  100MG    100T00001000001245000001245000013702607  GL0339       
D2012024070343342     0514987376069519±ÄÙÊÞ½ÀÁÝ ¼ÞÖ³ 10MG   PTP   10MG    100T00001000000999000000999000011002602  BK0101       
D2012024070343342     0614987376097710¸ÛËßÄÞ¸ÞÚÙ ¼ÞÖ³ 25MG  PTP   25MG    100T00001000001426000001426000016002609  4K098A       
D2012024070343342     0714987376097819¸ÛËßÄÞ¸ÞÚÙ ¼ÞÖ³ 75MG  PTP   75MG    100T00001000003163000003163000035502610  4K643A       
D2012024070343687     0114987123140225À¹ÌßÛÝ OD ¼ÞÖ³ 15     PTP   15MG    100T00001000002077000002077000023302610  JH021        
D2012024070343687     0214987123001373Ë±ÙÛÝ»ÝNA ÃÝ¶ÞÝ´· 0.       0.1%   5MLX1000001000001403000001403000015752702  G626         
E200000110000092407031002                                                                                                       
S20902020014 05262978170931240703130249128128          0526297817                                                               
D201202407030007621   0114987233105343½-¼ÞÔÇÊ²ºÞ³¼ÞÖ³            PTP      100T00001000017244000017244000191702611  24008M1      
D201202407030007621   0214987233103042ÍÞÀÆ½¼ÞÖ³50MG         50MG PTP      100T00001000013336000013336000147002610  23628R1      
D201202407030007621   0314987171659304ÒºÊÞ×ÐÝ¼ÞÖ³500UG¢SW£ 500UG PTP     1000T00001000005182000005182000057002612  723Z51       
D201202407030007621   0414987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000001036000001036000011402608  75930        
D201202407030007711   0114987341113858¹ÚÝÃÞ²±¼ÞÖ³10MG       10MG PTP      100T00001000013082000013082000143902504  JPS7369      
D201202407030007712   0114987128207602ÏÝ¼ÞÔÛË¶ÁÕ³2.5MG±Ãµ½     2.5MG0.5MLX2·ÂÄ00002000003428000006856000038482508  D684639CA    
D201202407030007944   0114987925113625Ú½ÌßÚÝ¼ÞÖ³30MG        30MG PTP      500T00001000004136000004136000045502901  24A020G      
D201202407030008039   0114987901126809±ÑÛ¼ÞËßÝOD¼ÞÖ³10MG¢V  10MG PTP      100T00001000000866000000866000010102608  HM1210       
D201202407030008039   0214987028211051±Ø¾ÌßÄD¼ÞÖ³5MG         5MG PTP       56T00001000004359000004359000048722612  242B73S      
D201202407030008039   0314987086151238¶ÙÅ¸ØÝ¼ÞÖ³50           50U PTP      100T00001000001227000001227000013502608  FY04601      
D201202407030008039   0414987286113500»Ý¶Ï¸ÞÈ¼³Ñ¼ÞÖ³330MG¢ 330MG PTP      100T00001000000486000000486000005702704  4H66         
D201202407030008039   0514987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000015458000015458000170402611  24008Y1      
D201202407030008040   0114987233105343½-¼ÞÔÇÊ²ºÞ³¼ÞÖ³            PTP      100T00001000017244000017244000191702611  24008M1      
D201202407030008040   0214987080598015Ëßµ¸ÞØÀ¿ÞÝ¼ÞÖ³15MG¢»  15MG PTP      100T00001000001137000001137000012702608  423803       
D201202407030008040   0314987081185719Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³10MG¢D  10MG PTP      100T00001000000536000000536000005902610  50182        
D201202407030008040   0414987155783049ÌßÛËßÍÞØÝ´Ý»Ý´Ý¼ÞÖ³2  20MG PTP      100T00001000002470000002470000027202610  D0034        
D201202407030008040   0514987116530026ÒÄ¸ÞÙº¼ÞÖ³250MG      250MG PTP     1000T00001000008952000008952000101002612  6547C        
D201202407030008041   0114987035209713ÚÊÞÐËßÄÞ¼ÞÖ³100MG¢µ- 100MG PTP      500T00001000004265000004265000050502702  4B82RT2      
D201202407030008042   0114987428143303ÄÙØ¼Ã²Ë¶ÁÕ³0.75MG±Ãµ    0.75MG      2·ÂÄ00002000004994000009988000054982512  D724399AA    
D201202407030008043   0114987616003167ÄÚ¼-ÊÞÁÕ³ÌÚÂ¸½ÀÂÁ         300U     3MLX200001000003592000003592000039522602  NP5J607      
D201202407030008055   0114987235012519Û·¿ÌßÛÌ´ÝNAÃ-Ìß50MG¢      50MG    7Ï²X1000002000000781000001562000008612604  4E060        
E200000230000212407031302                                                                                                       
