S20902020014 05262978173424240924050408128128          0526297817                                                               
D201202409240294069   0114987058146828ÍÞØÁ-ÑÊ²ºÞ³¶ØÕ³                 1GX105Î³00003000002065000006195000022052703  2412         
D201202409240296169   0114987155152074´ÙÃÞ¶Ù¼Ä-Ù¶Ìß¾Ù0.75U0.75UG PTP    100CAP00001000001798000001798000020702609  D0598        
D201202409240296170   0114987035576402µ-´½ÜÝ(OS-1)                    500MLX240000100000346700000346700000000250920             
E200000050000032409240504                                                                                                       
S20902960013 05262978170000240924060022128128          0526297817                                                               
D2012024092415557893631014987376069519±ÄÙÊÞ½ÀÁÝ10MG¢ÆÁ²º³£H100T               0000100000100000000100000001100260228BK0101       
D2012024092415557893632014987376055710±ÑÛ¼ÞËßÝ5MG¢ÆÁ²º³£ H 100T               0000100000091800000091800001010260831I01000       
D2012024092415557893633014987058060032±ÑÛ¼ÞËßÝ2.5MG¢±ÒÙ£ H 100T               00001000000918000000918000010102612312306         
D2012024092415557893634014987116530132´¸ÒÂÄÊ²ºÞ³LD H 100T                     0000200000454300000908600005100261231P0482        
D2012024092415557893635014987081185412¶ÙÍÞ¼ÞÛ-Ù1.25MGDSEP H100T               0000100000091800000091800001010270131W5A0019      
D2012024092415557893641014987376097710¸ÛËßÄÞ¸ÞÚÙ25MGSANIK H100T               00001000001416000001416000016002609304K100A       
D2012024092415557893642014987233105343½-¼ÞÔÇÊ²ºÞ³ H 100T                      000010000170780000170780001917027013124025M1      
D2012024092415557893643014987901016308¾ÚºÂ¸½100MG H 100T                      000010000021400000021400000238026043023030N1      
D2012024092415557893644014987476113310Ä×È·»Ñ»Ý250MG H 100T                    0000100000091800000091800001010270430Y24E41       
D2012024092415557893645014987376556736Ì´·¿Ì´Å¼ÞÝ60MGSAINK H500T               00001000012780000012780000143502611304K968C       
D2012024092415557893661014987060007995ÑºÀÞ²ÝDS50% 100G                        0000100000147700000147700001640261231E173         
D2012024092415557893662014987081186907Û½ÊÞ½ÀÁÝ2.5MG¢DSEP£ H100T               000010000010150000010150000114026103179930        
D2012024092415557893681014987128320011ÌÞÛÁ¿Þ×Ñ0.25MG¢Ö¼ÄÐ£H100T               0000100000091800000091800001010260630H784         
D2012024092415557893682014987114553102Ü²ÊßÂ¸½1MG H 100T                       0000100000056700000056700000640260930HT9994       
D2012024092415558366421014987376069519±ÄÙÊÞ½ÀÁÝ10MG¢ÆÁ²º³£H100T               0000100000100000000100000001100260228BK0101       
D2012024092415558366431014987123872058¿ÞÙËßÃÞÑ10MG¢NIG£ H 100T                0000100000127900000127900001420260430GG0157       
D2012024092415558971821014987650650105¸Ú½Ä-Ù 2.5MG(±½Ä×)H100T                 000010000018960000018960000213027022893040        
D2012024092415558971822014987294394229Ì´ÌÞØ¸20MG H 100T                       0000100000268300000268300002980270228D6429        
D2012024092415558971823014987128115372Ò²ÝÃ-Ä5MG H 100T                        0000100000181200000181200002020260930H151B        
D2012024092415558971824014987080670018×ÍÞÌß×¿Þ-ÙNA10MG¢»Ü²H100T               0000100000234100000234100002690261231723Y03       
D2012024092415558971825014987028240303Ü-Ì±ØÝ 1MG H 100T                       000020000008690000017380000098026113045A58K       
D2012024092415558971831014987028240501Ü-Ì±ØÝ0.5MG H 100T                      000010000008690000008690000098027013144A48K       
D2012024092415559868601014987123002721µÒ¶Þ3¼ÎÞ³»Ý´ÁÙØÕ³¼ÞÖ³56Î³               00001000003848000003848000045982609302310091      
D2012024092415559868602014987080680017¶ÙÍÞ¼ÞÛ-Ù2.5MG¢»Ü²£H 100T               0000200000091800000183600001010260430723403       
D2012024092415559868603014987286105239¾È¶Þ¼ÛÂÌß¢¹Ý´-£ 500ML                   00001000000805000000805000008952804304H13         
D2012024092415559868604014987916002211ÀÑ½Û¼ÝOD0.2MGÒ²¼Þ H 140T                000010000021300000021300000236626123101385        
D2012024092415559882651014987081189458´¾ÞÁÐÌÞ10MG¢DSEP£ H 100T                0000100000297500000297500003400261031Y006928      
D2012024092415559882652014987443384446´ÝÚ½Ä200MG H 100T                       0000100001523000001523000017110270131P0513        
D2012024092415559882653014987476113310Ä×È·»Ñ»Ý250MG H 100T                    0000100000091800000091800001010270430Y24E41       
D2012024092415559882654014987306066212ËÞµÌ´ÙÐÝ H 630T                         0000100000323000000323000003591270531104E8        
D2012024092415559882655014987123407915Ì±ÓÁ¼ÞÝOD20MG¢ÃÊÞ£ H 100T               0000100000090900000090900001010270531H01299       
D2012024092415559882701014987376616218ÍÊßØÝÙ²¼ÞÕ¾²¸Ø-Ñ0.3%25X10               0000100000090000000090000001000270531EP02         
D2012024092415559882702014987233103042ÍÞÀÆ½50MG H 100T                        000010000130960000130960001470027033124010R1      
D2012024092415559882703014987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G4MM 70ÎÝ               0000200000131100000262200000000290430PS7E17B-1    
D2012024092415559882711014987616003655µ¾ÞÝËßÂ¸Ë¶ÁÕ³2MG 1Ä³                    0000100000969200000969200010879260831NP5K134      
D2012024092415559882712014987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÌÚÂ¸½ÀÂÁ 3X2               0000300000317300000951900003562260531PP5L142      
D2012024092415560019031014987428143303ÄÙØ¼Ã²Ë¶ÁÕ³0.75MG±Ãµ½2·ÂÄ               0000400000489800001959200005498251231D738466AA    
D2012024092415560019051014987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÌÚÂ¸½ÀÂÁ 3X2               0000200000317300000634600003562260531PP5L142      
D2012024092415560033901014987770504609±ÃÞÎ½ 20MG H 100T                       0000100000051200000051200000570270131HY4W         
D2012024092415560033902014987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G4MM 70ÎÝ               0000200000131100000262200000000290430PS7E17B-1    
D2012024092415563191441014987128003358ÃÞÊß½ 0.5MG H 500T                      0000100000414100000414100004600261130H538         
D2012024092415563191442014987128320011ÌÞÛÁ¿Þ×Ñ0.25MG¢Ö¼ÄÐ£H100T               0000100000091800000091800001010260630H784         
D2012024092415563194531014987770528803±ÃÞÎ½º-Ü¶ØÕ³10% 1GX600                  0000100000924200000924200010260270630SN4E         
D2012024092415563194532014987770504609±ÃÞÎ½ 20MG H 100T                       0000100000051200000051200000570270131HY4W         
D2012024092415563194533014987770557001±ÃÞÎ½ 60MG H 100T                       0000100000067500000067500000750270430LC4C         
D2012024092415563194534014987116530170´¸ÒÂÄÊ²ºÞ³HD H 100T                     0000100000452200000452200005020270131P2317        
D2012024092415563194535014987185809917¼ÞÔÇËÞ±50MG(¶Â¾Ý) H 140T                0000100001406200001406200015610251130Y005480      
D2012024092415563194541014987901006200¾××50MG H 100T                          0000100000395800000395800004400260131HH1786       
