S20902020014 05262978170956240930140304128128          0526297817                                                               
D201202409300396913   0114987476113310Ä×È·»Ñ»Ý¼ÞÖ³250MG¢YD 250MG PTP      100T00001000000918000000918000010102704  Y24E46       
D201202409300396965   0114987086471282Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢  60MG PTP      100T00002000000863000001726000009802702  KY13801      
D201202409300397136   0114987080030317¸ÛÁ±¾ÞÊßÑ¼ÞÖ³5MG¢»Ü²   5MG PTP      100T00001000000513000000513000005702702  724201       
D201202409300397137   0114987443384446´ÝÚ½Ä¼ÞÖ³200MG       200MG PTP      100T00001000015108000015108000171102701  P0517        
D201202409300397137   0214987286113500»Ý¶Ï¸ÞÈ¼³Ñ¼ÞÖ³330MG¢ 330MG PTP      100T00001000000446000000446000005702707  4K93         
D201202409300397137   0314987185809917¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  140T00001000013409000013409000156102511  Y005480      
D201202409300397137   0414987306066212ËÞµÌ´ÙÐÝ¼ÞÖ³»Þ²            PTP      630T00001000003088000003088000035912705  134E0        
D201202409300397137   0514987086510882MSÚ²¼ÂÌß¢À¶ÐÂ£          (100G)       1KG00001000000750000000750000008602604  DE22AH       
D201202409300397229   0114987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000004248000004248000050202701  P2319        
D201202409300397230   0114987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200001000002631000002631000029222512  PT6DM33      
D201202409300397276   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000869000000869000010102606  H785         
D201202409300397277   0114987614410608ÄÞÈÍß¼ÞÙ´Ý»Ý´ÝOD¼ÞÖ³   5MG PTP       56T00001000001290000001290000014502609  P0038        
D201202409300397318   0114987080394013ÍÞ»ÞÌ²ÌÞ×-ÄSR¼ÞÖ³200 200MG PTP      100T00001000000869000000869000010102703  724301       
E200000150000132409301403                                                                                                       
