S20902020014 05262978173314241028050246128128          0526297817                                                               
D201202410280618070   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000869000000869000010102606  H785         
D201202410280618071   0114987081185337±¿Þ¾ÐÄÞ¼ÞÖ³60MG¢DSEP  60MG PTP      100T00001000001095000001095000012302606  FY00601      
D201202410280618071   0214987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014716000014716000170402702  24028Y1      
D201202410280618071   0314987155412031ÄØ¸ÛÙÒÁ±¼ÞÄÞ¼ÞÖ³1MG¢   1MG PTP      100T00001000000544000000544000006202704  A0562        
D201202410280618071   0414987035622611ÄÙÊÞÌßÀÝOD¼ÞÖ³15MG¢µ  15MG PTP       20T00001000010027000010027000125342701  4A87TDB1     
D201202410280618071   0514987086651578ÐÁ¸ÞØÆÄÞCA¥OD¼ÞÖ³10M  10MG PTP      100T00001000000805000000805000009202701  NN01         
D201202410280618200   0114987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000004248000004248000050202702  P2343        
D201202410280618200   0214987116530132´¸ÒÂÄÊ²ºÞ³¼ÞÖ³LD           PTP      100T00001000004315000004315000051002612  P0487        
D201202410280618200   0314987081189458´¾ÞÁÐÌÞ¼ÞÖ³10MG¢DSEP  10MG PTP      100T00001000003029000003029000034002610  Y007888      
D201202410280618200   0414987155152074´ÙÃÞ¶Ù¼Ä-Ù¶Ìß¾Ù0.75U0.75UG PTP    100CAP00001000001798000001798000020702703  D0618        
D201202410280618200   0514987286113500»Ý¶Ï¸ÞÈ¼³Ñ¼ÞÖ³330MG¢ 330MG PTP      100T00001000000446000000446000005702707  4K100        
D201202410280618201   0114987286105239¾È¶Þ¼ÛÂÌß                          500ML00001000000797000000797000008952804  4H15         
D201202410280618201   0214987174186012Â-Ä×Ñ¼ÞÖ³50MG         50MG PTP      100T00001000004691000004691000051702711  23036        
D201202410280618201   0314987155195101ÃÌßÚÉÝ¶Ìß¾Ù50MG¢Ä-Ü£  50MG PTP   1000CAP00001000005667000005667000063002704  A0651        
D201202410280618201   0414987901129800ÄÞ·»¿Þ¼Ý¼ÞÖ³1MG¢VTRS   1MG PTP      100T00001000000859000000859000010102701  LA1075       
D201202410280618201   0514987047110885ÆÖ³¿¸Ø-Ñ20%¢SUN£           20%  25GX10ÎÝ00001000000820000000820000008752704  2404023      
D201202410280618202   0114987058201039ÉÊÞÐÝ¼ÞÖ³5MG           5MG PTP      100T00001000000882000000882000009802904  2403         
D201202410280618202   0214987901008303ÉÙÊÞ½¸¼ÞÖ³5MG          5MG PTP      100T00001000001381000001381000015202712  LC3320       
D201202410280618463   0114987190020338´¿ÒÌß×¿Þ-Ù¶Ìß¾Ù20MG¢  20MG PTP    100CAP00001000003595000003595000041802607  10030        
D201202410280618463   0214987188407004Ó-×½ÊßÂÌßXR120MG       10X14CM    7Ï²X1000001000001890000001890000020792606  B718T        
D201202410280618464   0114987428879806ËÕ-ÏÛ¸ÞÐÂ¸½50ÁÕ³ÐØµÍ      300U     3MLX200001000002166000002166000024362701  D715086EG    
D201202410280618654   0114987301100430ºÀÛ³068¼Ô¸Ô¸¶Ý¿Þ³Ä³        N68   2GX42Î³00004000000687000002748000007562607  YP957        
D201202410280618654   0214987185809917¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  140T00001000013409000013409000156102511  Y005480      
D201202410280618654   0314987901129800ÄÞ·»¿Þ¼Ý¼ÞÖ³1MG¢VTRS   1MG PTP      100T00001000000859000000859000010102701  LA1075       
D201202410280618654   0414987306066212ËÞµÌ´ÙÐÝ¼ÞÖ³»Þ²            PTP      630T00001000003088000003088000035912705  164E4        
D201202410280618654   0514987080123170ÒÏÝÁÝ´Ý»Ý´ÝOD¼ÞÖ³20M  20MG PTP       56T00001000002577000002577000029292701  623Z02       
