S20902020014 05262978173421241111050240128128          0526297817                                                               
D201202411110645666   0114987058173381±ÙÌ±¶Ù¼ÄÞ-Ù¼ÞÖ³1.0UG 1.0UG PTP      100T00001000000534000000534000005902705  2414         
D201202411110645666   0214987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00002000004248000008496000050202703  P2350        
D201202411110645666   0314987306017221¸×Ø½¼ÞÖ³             200MG PTP      100T00001000002655000002655000030002706  014X1        
D201202411110645666   0414987222000505ÒÏÝÁÝ´Ý»Ý´ÝOD¼ÞÖ³10M  10MG PTP       14T00001000000523000000523000005912609  00105        
D201202411110645734   0114987155244175¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢Ä 250MG PTP     1000T00002000006091000012182000067002708  D2770        
D201202411110646394   0114987051183127¸ÞÙÍÞ½Ê²ºÞ³¼ÞÖ³            PTP      100T00001000002575000002575000029002702  CVP1603      
D201202411110646394   0214987080038016¹ÄÁÌ´ÝÃÝËÞ´·0.05%¢»Ü   6.048MG  8MLX10ÎÝ00001000002103000002103000023142611  X23Y04       
D201202411110646394   0314987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000001000001045000001045000011972604  4H14SL       
D201202411110646394   0414987286113500»Ý¶Ï¸ÞÈ¼³Ñ¼ÞÖ³330MG¢ 330MG PTP      100T00001000000446000000446000005702707  4K104        
D201202411110646394   0514987080783015¼ÝÊÞ½ÀÁÝ¼ÞÖ³5MG¢SW£    5MG PTP      100T00001000001653000001653000018802701  523Z01       
D201202411110646395   0114987185809917¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  140T00001000013409000013409000156102511  Y005480      
D201202411110646395   0214987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014716000014716000170402702  24030Y1      
D201202411110646395   0314987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00001000000460000000460000005102803  724407       
D201202411110646395   0414987222001755ÃÞÕÛ·¾ÁÝOD¼ÞÖ³20MG¢Ò  20MG PTP      100T00001000002802000002802000031702703  00032        
D201202411110646395   0514987476111514ÒÅÃÄÚÉÝ¶Ìß¾Ù15MG¢YD£  15MG PTP    100CAP00001000001036000001036000011402705  Y24F02       
D201202411110646396   0114987188412176Ó-×½Ã-ÌßL40MG          10X14CM    7Ï²X1000001000001819000001819000020022608  B905U        
D201202411110646396   0214987081187003Û½ÊÞ½ÀÁÝ¼ÞÖ³5MG¢DSEP   5MG PTP      100T00001000001835000001835000020602701  51040        
D201202411110646435   0114987035184614Ñº½À¼ÞÖ³100MG        100MG PTP      100T00001000000901000000901000010102706  4F79MT2      
D201202411110646553   0114987060307156ÓÝÃÙ¶½Ä¼ÞÖ³10MG¢KM£   10MG PTP       28T00001000001009000001009000011342612  Y005122      
D201202411110646553   0214987188415832Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001071000001071000011972606  B707Y        
D201202411110646700   0114987233103653ÚÊß-»Ë¶ÁÕ³140MGÍßÝ       140MG       1ÎÝ00007000021430000150010000243022602  1166273      
D201202411110646891   0114987435475152ÃÞ·»ÒÀ¿ÞÝÌßÛËßµÝ»Ý´½      0.1%    10GX1000001000000751000000751000008102709  9901XD       
D201202411110647022   0114987080271116±ØËßÌß×¿Þ-Ù¼ÞÖ³1MG¢»   1MG PTP      100T00001000000535000000535000005902704  724403       
D201202411110647022   0214987080737414²º»ÍßÝÄ»Ý´ÁÙØÕ³¼ÞÖ³¶     900MG      84Î³00003000003145000009435000034612612  X23Z41       
D201202411110647022   0314987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000004248000004248000050202703  P2350        
D201202411110647022   0414987081103324´Ì²´ÝÄ¼ÞÖ³3.75MG    3.75MG PTP      100T00001000022124000022124000254302701  TDA0205      
D201202411110647022   0514987080680017¶ÙÍÞ¼ÞÛ-Ù¼ÞÖ³2.5MG¢» 2.5MG PTP      100T00005000000879000004395000010102701  724103       
D201202411110647023   0114987770529800ÊßÙÓÃÞ²±XR¼ÞÖ³0.2MG  0.2MG PTP      100T00002000005345000010690000060002708  FJ4I         
D201202411110647023   0214987954810465Û½-¾ÞÂÄÊ²ºÞ³¼ÞÖ³HD         PTP      100T00001000006708000006708000075302704  Y014130      
D201202411110647023   0314987081187003Û½ÊÞ½ÀÁÝ¼ÞÖ³5MG¢DSEP   5MG PTP      100T00001000001835000001835000020602701  51040        
D201202411110647340   0114987286113500»Ý¶Ï¸ÞÈ¼³Ñ¼ÞÖ³330MG¢ 330MG PTP      100T00001000000446000000446000005702707  4K104        
D201202411110647340   0214987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014716000014716000170402702  24030Y1      
D201202411110647340   0314987188412176Ó-×½Ã-ÌßL40MG          10X14CM    7Ï²X1000001000001819000001819000020022608  B905U        
D201202411110647340   0414987086471282Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢  60MG PTP      100T00001000000863000000863000009802706  K240072      
D201202411110647984   0114987476113310Ä×È·»Ñ»Ý¼ÞÖ³250MG¢YD 250MG PTP      100T00001000000918000000918000010102706  Y24G45       
D201202411110648150   0114987081100811Ì´ÉÊÞ-Ù¼ÞÖ³30MG       30MG PTP      100T00003000000629000001887000007002905  Q03U         
D201202411110648250   0114987770528803±ÃÞÎ½º-Ü¶ØÕ³10%            10%  1GX600Î³00001000009132000009132000102602707  BT4I         
D201202411110648250   0214987901128605±ÑÛ¼ÞËßÝ¼ÞÖ³5MG¢VTRS   5MG PTP      100T00001000000788000000788000010102711  HR6083       
D201202411110648250   0314987901128704±ÑÛ¼ÞËßÝ¼ÞÖ³5MG¢VTRS   5MG PTP      500T00001000004591000004591000050502802  LK4461       
D201202411110648250   0414987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00002000004248000008496000050202703  P2350        
D201202411110648250   0514987190020338´¿ÒÌß×¿Þ-Ù¶Ìß¾Ù20MG¢  20MG PTP    100CAP00001000003595000003595000041802607  10830        
D201202411110648251   0114987901129008´ÚÄØÌßÀÝ¼ÞÖ³20MG¢VTR  20MG PTP       10T00003000001129000003387000013282606  HT0217       
D201202411110648251   0214987051183127¸ÞÙÍÞ½Ê²ºÞ³¼ÞÖ³            PTP      100T00001000002575000002575000029002702  CVP1603      
D201202411110648251   0314987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000002000001045000002090000011972604  4H14SL       
D201202411110648251   0414987286113500»Ý¶Ï¸ÞÈ¼³Ñ¼ÞÖ³330MG¢ 330MG PTP      100T00002000000446000000892000005702707  4K104        
D201202411110648251   0514987185809917¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  140T00001000013409000013409000156102511  Y005480      
D201202411110648252   0114987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014716000014716000170402702  24030Y1      
D201202411110648252   0214987413836029½ËßµÙÄÚ½ËßÏÂÄ60·Õ³ÆÕ                1·ÂÄ00002000005085000010170000057192609  305153B      
D201202411110648252   0314987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00001000000460000000460000005102803  724407       
D201202411110648252   0414987476113310Ä×È·»Ñ»Ý¼ÞÖ³250MG¢YD 250MG PTP      100T00001000000918000000918000010102706  Y24G45       
D201202411110648252   0514987047110885ÆÖ³¿¸Ø-Ñ20%¢SUN£           20%  25GX10ÎÝ00001000000820000000820000008752704  2404025      
D201202411110648253   0114987080002017ËßÀÊÞ½ÀÁÝCA¼ÞÖ³2MG¢»   2MG PTP      100T00001000001535000001535000017802703  424303       
D201202411110648253   0214987901130509ÌßÚ¶ÞÊÞØÝOD¼ÞÖ³75MG¢  75MG PTP      100T00001000001839000001839000020902612  KC9352       
D201202411110648253   0314987081107032Ø¸¼±ÅOD¼ÞÖ³30MG       30MG PTP      100T00001000035742000035742000411302704  UMA0637      
