S20902020014 05262978172950250331050259128128          0526297817                                                               
D201202503310135672   0114987080128014²ÄÌßØÄÞ´Ý»Ý´Ý¼ÞÖ³50M  50MG PTP      100T00001000000554000000554000006102710  424X04       
D201202503310135672   0214987087034868SGÊ²ºÞ³¶ØÕ³                     1GX105Î³00001000000767000000767000008612708  9823         
D201202503310136094   0114987236019098Ö³Ò²¼Õ¾²¿Þ³¸ÛÓ¼ÞÉÄÞ± ¼Ö³¶ÞÊÁÐÂ       76G00001000000213000000213000000002606               
D201202503310136260   0114987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000002910  PS7L15B-1    
D201202503310136261   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00002000003173000006346000035622610  PP5N117      
D201202503310136347   0114987476111514ÒÅÃÄÚÉÝ¶Ìß¾Ù15MG¢YD£  15MG PTP    100CAP00001000001036000001036000011402711  Y24L06       
D201202503310136348   0114987476111514ÒÅÃÄÚÉÝ¶Ìß¾Ù15MG¢YD£  15MG PTP    100CAP00001000001036000001036000011402711  Y24L06       
D201202503310136880   0114987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000002910  PS7L15B-1    
D201202503310136881   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00002000003173000006346000035622610  PP5N117      
D201202503310136953   0114987086533485¹ÄÌßÛÌ´ÝÃ-Ìß20MG¢»ÝÜ    7X10CM    7Ï²X1000001000000752000000752000008612612  5A11SS       
E200000120000102503310502                                                                                                       
S20901660013 05262978170000250329200419128128          0526297817                                                               
D2012025033145125     0114987123416627ÎÞ¸ÞØÎÞ-½ OD¼ÞÖ³ 0.3£ PTP  0.3MG    100T00002000000851000001702000010102708  KJ011        
D2012025033145125     0214987123873758¼ÞÌ´ÆÄÞ-Ù´Ý»Ý´Ý ¼ÞÖ³  PTP   25MG    100T00001000000508000000508000005702710  H40545       
D2012025033145125     0314987376069410±ÄÙÊÞ½ÀÁÝ ¼ÞÖ³ 5MG ¢  PTP    5MG    100T00001000000918000000918000010102701  AP0201       
D2012025033146300     0114987081186907Û½ÊÞ½ÀÁÝ ¼ÞÖ³ 2.5MG   PTP  2.5MG    100T00001000001036000001036000011402703  86740        
D2012025033146300     0214987123418164ÃÞÕÀ½ÃØÄÞ ¶Ìß¾Ù 0.5MÊÞ£ PTP 0.5MG    30P00003000000775000002325000008762805  YL6U         
D2012025033146300     0314987413300612¼ÞÔÃÞ²±Ý½ ¼ÞÖ³ 10MG   PTP   10MG    100T00001000016831000016831000188902707  489458       
D2012025033146300     0414987185809900¼ÞÔÇËÞ± ¼ÞÖ³ 50MG (¶  PTP   50MG    100T00001000009935000009935000111502606  Y019051      
D2012025033146300     0514987376056212ÄºÌ´Û-ÙÆºÁÝ»Ý´½ÃÙ ¶Ì¢ÆÁ²º³£  PTP    100P00001000000681000000681000007502706  FP2801       
D2012025033146300     0614987058173381±ÙÌ±¶Ù¼ÄÞ-Ù ¼ÞÖ³ 1.0  PTP  1.0Ï²¸ÛG 100T00001000000525000000525000005902710  2428         
D2012025033146300     0714987047211346ÌßÙ¾ÞÆÄÞ ¼ÞÖ³ 12MG    PTP   12MG    100T00001000000508000000508000005702705  248B10S      
D2012025033146300     0814987081187836¼ÛÄÞ¼Ý OD ¼ÞÖ³ 4MG ¢  PTP    4MG    100T00001000001318000001318000014502705  CVZ0941      
D2012025033146301     0114987081186518ÃÙÐ»ÙÀÝ ¼ÞÖ³ 40MG ¢D  PTP   40MG  14TX1000001000002443000002443000026882705  489044       
D2012025033146301     0214987376075510ËÞ¿ÌßÛÛ-ÙÌÏÙ»Ý´Ý ¼ÞÖ¢ÆÁ²º³£  PTP    100T00002000000900000001800000010102707  GP1301       
D2012025033146301     0314987080152118ÚÊß¸ÞØÆÄÞ ¼ÞÖ³ 0.25M  PTP 0.25MG    100T00002000000727000001454000008002710  524905       
D2012025033146301     0414987080303510Ò·À¼ÞÝ ¼ÞÖ³ 3MG ¢»Ü²  PTP    3MG    100T00001000000510000000510000005702710  524802       
D2012025033146360     0114987476113310Ä×È·»Ñ»Ý ¼ÞÖ³ 250MG   PTP  250MG    100T00001000000918000000918000010102711  Y24L05       
D2012025033146873     0114987138806840068 ÂÑ× ¼Ô¸Ô¸¶Ý¿Þ³Ä³           2.5GX42Î³00002000000992000001984000010922712  X43691       
D2012025033146873     0214987123873758¼ÞÌ´ÆÄÞ-Ù´Ý»Ý´Ý ¼ÞÖ³  PTP   25MG    100T00001000000508000000508000005702710  H40545       
D2012025033146873     0314987080120018´ÊÞ½ÁÝ OD ¼ÞÖ³ 10MG   PTP   10MG    100T00001000002108000002108000023202709  X24903       
D2012025033146873     0414987376069519±ÄÙÊÞ½ÀÁÝ ¼ÞÖ³ 10MG   PTP   10MG    100T00001000000999000000999000011002706  FP0101       
D2012025033146956     0114987138802545025 ÂÑ× ¹²¼ÌÞ¸ØÖ³¶ÞÝ           2.5GX42Î³00002000001345000002690000014802802  X55072       
D2012025033146956     0214987080556114ÆÌ´¼ÞËßÝ CR ¼ÞÖ³ 40M  PTP   40MG    100T00001000001545000001545000017002706  X24806       
D2012025033146956     0314987123144049ÍÞ²½Ý OD ¼ÞÖ³ 0.2     PTP  0.2MG    100T00001000001426000001426000016002704  KE021        
D2012025033146956     0414987188407004Ó-×½ ÊßÂÌß XR 120MG    10CMX14CM  7Ï²X1000001000001889000001889000020792611  BC11T        
E200000260000242503292004                                                                                                       
