S20902690019 05262978170000250407124502128128          0526297817                                                               
D201202504085120097   0114987376075312ËÞ¿ÌßÛÛ°ÙÌÏÙ»Ý´Ý¼ÞÖ³2.5MG¢ÆÁ²100T       00001000000941000000941000010402710  J01800       
D201202504085120097   0214987123875240ÌÛ¾ÐÄÞ¼ÞÖ³20MG¢NIG£ PTP      100T       00001000000572000000572000006302712  H60713       
E200000040000022504071245                                                                                                       
S20902020014 05262978171005250407140256128128          0526297817                                                               
D201202504070153663   0114987858100044±½ÄÐÝ¼ÞÖ³10MG         10MG PTP      100T00010000000693000006930000006802706  H061R01      
D201202504070153718   0114987080192015´Á¿Þ×Ñ¼ÞÖ³1MG¢SW£      1MG PTP      100T00001000000918000000918000010102701  523Y02       
D201202504070153719   0114987080396017±ÛÌßØÉ-Ù¼ÞÖ³100MG¢»Ü 100MG PTP      100T00002000000727000001454000008002705  B24504       
D201202504070153719   0214987116530132´¸ÒÂÄÊ²ºÞ³¼ÞÖ³LD           PTP      100T00002000004291000008582000047202708  P0512        
D201202504070153719   0314987087034936¼Å-ÙÊ²ºÞ³¼ÞÖ³              PTP      100T00001000000582000000582000006402712  9015         
D201202504070153719   0414987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00002000007464000014928000082102606  Y019197      
D201202504070153719   0514987901094207Ó»ÌßØÄÞ¸´Ý»Ý´Ý¼ÞÖ³5M   5MG PTP      100T00001000000945000000945000010402708  M037AH9      
D201202504070153720   0114987081102402Ú»ÞÙÀ½Ê²ºÞ³¼ÞÖ³HD   20/16MGPTP      100T00001000004364000004364000048002706  ZEA1667      
D201202504070153720   0214987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000005000001120000005600000012322712  10725        
E200000110000092504071402                                                                                                       
