S20902690019 05262978170000250416090002128128          0526297817                                                               
D201202504166337330   0114987123418164ÃÞÕÀ½ÃØÄÞ ¶Ìß¾Ù0.5MGAV¢ÃÊÞPTP30CP       00001000000731000000731000008042805  YL6U         
D201202504166337330   0214987376056212ÄºÌ´Û°ÙÆºÁÝ»Ý´½ÃÙ¶Ìß¾Ù200MG 100CP       00002000000681000001362000007502706  FP2701       
E200000040000022504160900                                                                                                       
S20902690019 05262978170000250416100001128128          0526297817                                                               
D201202504166339065   0114987123873857»ÙÎß¸ÞÚ×°Ä´Ý»Ý´Ý¼ÞÖ³100MG PTP100T       00001000002600000002600000028602708  GY0327       
E200000030000012504161000                                                                                                       
S20902690019 05262978170000250416120002128128          0526297817                                                               
D201202504166344249   0114987123003452±¼ÞÙ»ÙÀÝ¼ÞÖ³20MG ¢À¹ÀÞÃÊÞ£PTP100T       00001000002745000002745000030202705  TA0040       
D201202504166344249   0214987376069519±ÄÙÊÞ½ÀÁÝ¼ÞÖ³10MG¢ÆÁº³£ PTP  100T       00001000000945000000945000010402706  FP0101       
D201202504166344249   0314987123872829¼Û½À¿Þ°Ù¼ÞÖ³100MG¢NIG£ PTP   100T       00001000001142000001142000012602610  GP0637       
D201202504166344249   0414987123154352À¹·ÔÌÞ¼ÞÖ³10MG PTP    10MG 10TX10       00001000008562000008562000094302709  564576       
D201202504166344249   0514987376556712Ì´·¿Ì´Å¼ÞÝ´Ý»Ý´Ý¼ÞÖ³60MG¢SAN 100T       00001000002609000002609000028702702  4K041A       
D201202504166344250   0114987376711005ÍÞÀË½ÁÝÒ¼Ù»Ý´Ý¼ÞÖ³6MG¢ÆÁ²ºPT 100T       00001000000572000000572000006302707  K04300       
E200000080000062504161200                                                                                                       
S20902020014 05262978170807250416140244128128          0526297817                                                               
D201202504160169361   0114987158102038³ÌÞÚÁÄÞ¼ÞÖ³5MG         5MG PTP      100T00001000001173000001173000012902911  BAM011       
D201202504160169362   0114987080303718¼Þ×¾ÞÌß´Ý»Ý´Ý¼ÞÖ³50M  50MG PTP      100T00001000000536000000536000005902709  724903       
D201202504160169362   0214987188412176Ó-×½Ã-ÌßL40MG          10X14CM    7Ï²X1000001000001756000001756000019322701  C218U        
D201202504160169449   0114987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000001000001120000001120000012322612  5A19SL       
D201202504160169449   0214987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000007464000007464000082102608  Y020751      
D201202504160169449   0314987171659304ÒºÊÞ×ÐÝ¼ÞÖ³500UG¢SW£ 500UG PTP     1000T00001000005364000005364000059002705  724551       
D201202504160169450   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00002000003036000006072000033402610  PP5N120      
D201202504160169454   0114987188447048¼Þ¸ÛÌ´Å¸NA»Þ»Þ²50MG¢      50MG      100º00001000001903000001903000020902712  BC01N        
D201202504160169586   0114987770528803±ÃÞÎ½º-Ü¶ØÕ³10%            10%  1GX600Î³00001000008455000008455000093002801  DL5O         
D201202504160169586   0214987901128209±ÑÛ¼ÞËßÝ¼ÞÖ³2.5MG¢VT 2.5MG PTP      100T00001000000945000000945000010402807  LP8868       
D201202504160169586   0314987901039406´ÊßÙÚ½ÀÂÄ¼ÞÖ³50MG¢VT  50MG PTP      100T00001000001300000001300000014302708  M038AH9      
D201202504160169586   0414987086170802¸ÞØÒËßØÄÞ¼ÞÖ³1MG¢»ÝÜ   1MG PTP      100T00001000000945000000945000010402708  AA0091A      
D201202504160169586   0514987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000007464000007464000082102608  Y020751      
D201202504160169587   0114987138804143ÂÑ×041ÎÁÕ³´Â·Ä³           (41) 2.5GX3X1400003000002148000006444000023632801  X52462       
D201202504160169587   0214987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002202000002202000024222706  489046       
D201202504160169587   0314987614439401ÊÞ×¼¸ÛËÞÙ¼ÞÖ³500MG¢S 500MG PTP       42T00001000002949000002949000028352705  TH8C         
D201202504160169587   0414987614439708ÊßÛ·¾ÁÝ¼ÞÖ³5MG¢SPKK£   5MG PTP      100T00001000000945000000945000010402705  TK6P         
D201202504160169587   0514987222682152ËÞ×É±¼ÞÖ³20MG         20MG PTP      100T00001000004427000004427000048702707  4G92C        
D201202504160169588   0114987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000002911  PS7M07B-1    
D201202504160169588   0214987188412176Ó-×½Ã-ÌßL40MG          10X14CM    7Ï²X1000001000001756000001756000019322701  C218U        
D201202504160169588   0314987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001120000001120000012322712  10725        
D201202504160169589   0114987616003655µ¾ÞÝËßÂ¸Ë¶ÁÕ³2MG           2MG 1.5MLX1ÎÝ00001000010137000010137000111512703  PP5M682      
D201202504160169589   0214987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00001000003036000003036000033402610  PP5N120      
E200000250000232504161402                                                                                                       
