S20902690019 05262978170000250424100001128128          0526297817                                                               
D201202504246583622   0114987058565032ÌÙÆÄ×¾ÞÊßÑ¼ÞÖ³1MG±ÒÙPTP1MG   100T       00001000000536000000536000005902710  2435         
E200000030000012504241000                                                                                                       
S20902690019 05262978170000250424110001128128          0526297817                                                               
D201202504246584763   0114987123872997ÍÞÆ¼ÞËßÝ´Ý»Ý´Ý4MG¢N IG£PTP4MG100T       00001000000936000000936000010402610  GR0965       
E200000030000012504241100                                                                                                       
S20902690019 05262978170000250424120003128128          0526297817                                                               
D201202504246590717   0114987376349901¿ØÌ´Å¼ÝºÊ¸»Ý´ÝOD¼ÞÖ³5MG¢ÆÁ²º³£100       00001000002996000002996000033002608  25001R1      
E200000030000012504241200                                                                                                       
S20902690019 05262978170000250424124501128128          0526297817                                                               
D201202504256591723   0114987123154352À¹·ÔÌÞ¼ÞÖ³10MG PTP    10MG 10TX10       00001000008562000008562000094302709  564576       
D201202504256591723   0214987376305617ËßÙÌ´ÆÄÞÝ ¼ÞÖ³200MG¢ÆÁ²º³£PTP100T       00003000012511000037533000138202709  J00900       
E200000040000022504241300                                                                                                       
S20902020014 05262978170754250424140247128128          0526297817                                                               
D201202504240183452   0114987155152074´ÙÃÞ¶Ù¼Ä-Ù¶Ìß¾Ù0.75U0.75UG PTP    100CAP00001000001755000001755000019302709  D0731        
D201202504240183452   0214987901129107¾Úº·¼ÌÞ¼ÞÖ³100MG¢VTR 100MG PTP      100T00001000000845000000845000009302708  24087N1      
D201202504240183452   0314987476113310Ä×È·»Ñ»Ý¼ÞÖ³250MG¢YD 250MG PTP      100T00001000001061000001061000010402711  Y24L22       
D201202504240183452   0414987080774013Ìß×ÊÞ½ÀÁÝNA¼ÞÖ³10MG¢  10MG PTP      100T00001000001282000001282000014102706  724604       
D201202504240183452   0514987155783049ÌßÛËßÍÞØÝ´Ý»Ý´Ý¼ÞÖ³2  20MG PTP      100T00001000002318000002318000025502707  D0038        
D201202504240183453   0114987320603530ÍÓÅ-¾ÞÊ²ºÞ³¼ÞÖ³            PTP      100T00001000001036000001036000009602707  J0232        
D201202504240183490   0114987116530323ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³250M 250MG PTP     1000T00001000009455000009455000104002707  6853C        
D201202504240183490   0214987116530316ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³250M 250MG PTP      100T00001000000945000000945000010402707  6818C        
D201202504240183582   0114987080005414¶ÝÃÞ»ÙÀÝ¼ÞÖ³12MG¢»Ü²  12MG PTP      100T00001000001300000001300000014302710  724X01       
D201202504240183582   0214987650650105¸Ú½Ä-Ù¼ÞÖ³2.5MG      2.5MG PTP      100T00001000001682000001682000018502706  94040        
D201202504240183582   0314987057251097ºÆ-Ù¼ÞÖ³4              4MG PTP      100T00001000001564000001564000017202612  211ACL       
