S20901660013 05262978170000250502230347128128          0526297817                                                               
D2012025050710115     0114987376556712Ì´·¿Ì´Å¼ÞÝ´Ý»Ý´Ý ¼ÞÖIK£  PTP 60MG   100T00001000002608000002608000028702704  4K087A       
D2012025050710115     0214987123416603ÎÞ¸ÞØÎÞ-½ OD¼ÞÖ³ 0.2£ PTP  0.2MG    100T00001000000926000000926000010402708  KJ011        
D2012025050710115     0314987123416627ÎÞ¸ÞØÎÞ-½ OD¼ÞÖ³ 0.3£ PTP  0.3MG    100T00002000000926000001852000010402709  KK051        
D2012025050710115     0414987123873758¼ÞÌ´ÆÄÞ-Ù´Ý»Ý´Ý ¼ÞÖ³  PTP   25MG    100T00002000000526000001052000005902710  H40547       
D2012025050710115     0514987376069410±ÄÙÊÞ½ÀÁÝ ¼ÞÖ³ 5MG ¢  PTP    5MG    100T00001000000945000000945000010402701  AP0201       
D2012025050710115     0614987081189960Û·¿ÌßÛÌ´Ý NA Ã-Ìß 10  10CMX14CM   7Ï²X1000001000001098000001098000012322712  10925        
D2012025050710116     0114987123872058¿ÞÙËßÃÞÑ¼Õ¾·»Ý´Ý¼ÞÖ³  PTP   10MG    100T00001000001236000001236000013602702  GT0175       
D2012025050710117     0114987058565032ÌÙÆÄ×¾ÞÊßÑ ¼ÞÖ³ 1MG   PTP    1MG    100T00002000000526000001052000005902710  2437         
D2012025050710555     0114987081186907Û½ÊÞ½ÀÁÝ ¼ÞÖ³ 2.5MG   PTP  2.5MG    100T00001000000945000000945000010402704  88040        
D2012025050710555     0214987443384446´ÝÚ½Ä ¼ÞÖ³ 200MG      PTP  200MG    100T00001000016766000016766000188202710  P0716        
D2012025050710555     0314987138800138001 ÂÑ× ¶ÂºÝÄ³           ¶ÐÊÞº  2.5GX18900001000005701000005701000063312803  X65211       
D2012025050710555     0414987123155144Á×-ÁÞÝ S ¼ÞÖ³ 50Ï²¸Û  PTP  50Ï²¸ÛG  500T00001000004725000004725000052002709  Y615A        
D2012025050710555     0514987376556712Ì´·¿Ì´Å¼ÞÝ´Ý»Ý´Ý ¼ÞÖIK£  PTP 60MG   100T00003000002608000007824000028702704  4K087A       
