S20902690019 05262978170000250527120002128128          0526297817                                                               
D201202505277494982   0114987376556712Ì´·¿Ì´Å¼ÞÝ´Ý»Ý´Ý¼ÞÖ³60MG¢SAN 100T       00001000002609000002609000028702702  4K042A       
D201202505277494983   0114987058566039ÌÙÆÄ×¾ÞÊßÑ¼ÞÖ³2MG±ÒÙPTP2MG   100T       00001000000554000000554000006102710  2438         
E200000040000022505271200                                                                                                       
S20902020014 05262978170881250527140247128128          0526297817                                                               
D201202505270232502   0114987901128209±ÑÛ¼ÞËßÝ¼ÞÖ³2.5MG¢VT 2.5MG PTP      100T00001000000945000000945000010402807  LP8868       
D201202505270232502   0214987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000004227000004227000046502711  P2536        
D201202505270232502   0314987443384446´ÝÚ½Ä¼ÞÖ³200MG       200MG PTP      100T00001000017109000017109000188202710  P0737        
D201202505270232502   0414987081189700¶Þ×ÝÀÐÝOD¼ÞÖ³8MG¢DSE   8MG PTP       56T00001000001227000001227000013502701  BB2B066      
D201202505270232502   0514987699050027¸Þ-Ì²½¼ÞÖ³5MG          5MG PTP      100T00001000007291000007291000080202712  5A414        
D201202505270232503   0114987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014782000014782000162602706  24070Y1      
D201202505270232503   0214987233105343½-¼ÞÔÇÊ²ºÞ³¼ÞÖ³            PTP      100T00001000016255000016255000178802706  24084M1      
D201202505270232503   0314987413836029½ËßµÙÄÚ½ËßÏÂÄ60·Õ³ÆÕ                1·ÂÄ00001000004867000004867000053542612  402008A      
D201202505270232503   0414987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00001000000482000000482000005302811  724Y10       
D201202505270232503   0514987614413012ÊÞÙ»ÙÀÝ¼ÞÖ³80MG¢»ÝÄÞ  80MG PTP      500T00001000006711000006711000066002705  P0255        
D201202505270232504   0114987614413005ÊÞÙ»ÙÀÝ¼ÞÖ³80MG¢»ÝÄÞ  80MG PTP      140T00001000001879000001879000018482707  P0268        
D201202505270232504   0214987047211346ÌßÙ¾ÞÆÄÞ¼ÞÖ³12MG      12MG PTP      100T00001000000601000000601000005902706  249A58S      
D201202505270232504   0314987188412176Ó-×½Ã-ÌßL40MG          10X14CM    7Ï²X1000001000001756000001756000019322703  C406U        
D201202505270232504   0414987901094207Ó»ÌßØÄÞ¸´Ý»Ý´Ý¼ÞÖ³5M   5MG PTP      100T00001000000945000000945000010402708  M037AH9      
D201202505270232504   0514987081100316Û·¿ÆÝÃ-Ìß100MG         10X14CM    7Ï²X1000001000001120000001120000012322712  10625        
D201202505270232505   0114987081189939Û·¿ÌßÛÌ´ÝNAÃ-Ìß50MG¢      50MG    7Ï²X1000001000000808000000808000008892802  30325        
D201202505270232505   0214987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001120000001120000012322801  20525        
D201202505270232505   0314987081187003Û½ÊÞ½ÀÁÝ¼ÞÖ³5MG¢DSEP   5MG PTP      100T00001000001673000001673000018402706  56440        
D201202505270232505   0414987080023616ÛÍß×ÐÄÞ´Ý»Ý´Ý¶Ìß¾Ù1M   1MG PTP    100CAP00001000000555000000555000006102801  125201       
D201202505270232506   0114987128305216ÏÝ¼ÞÔÛË¶ÁÕ³5MG±Ãµ½         5MG0.5MLX2·ÂÄ00002000006996000013992000076962609  D815595HA    
D201202505270232535   0114987084120366»ÝºÊÞÃÝ¶ÞÝ´·0.02%        0.02%  5MLX10ÎÝ00001000000833000000833000009162709  SK5011       
D201202505270232600   0114987497305626¼±ÉºÊÞ×ÐÝÃÝ¶ÞÝ´·0.02     0.02%    5MLX1000001000000819000000819000008922801  250011       
E200000240000222505271402                                                                                                       
