S20901660013 05262978170000250602100128128128          0526297817                                                               
D2012025060207608     0114987376711005ÍÞÀË½ÁÝÒ¼Ù»Ý´Ý ¼ÞÖ³ £ PTP    6MG    100T00001000000562000000562000006302709  K05400       
D2012025060207608     0214987081186907Û½ÊÞ½ÀÁÝ ¼ÞÖ³ 2.5MG   PTP  2.5MG    100T00001000000945000000945000010402706  88840        
D2012025060207608     0314987123154352À¹·ÔÌÞ ¼ÞÖ³ 10MG      PTP   10MG    100T00001000008401000008401000094302710  565516       
D2012025060207608     0414987443384446´ÝÚ½Ä ¼ÞÖ³ 200MG      PTP  200MG    100T00001000016766000016766000188202710  P0739        
D2012025060207608     0514987138806840068 ÂÑ× ¼Ô¸Ô¸¶Ý¿Þ³Ä³           2.5GX42Î³00002000000992000001984000010922802  X61511       
D2012025060207608     0614987116530170´¸ÒÂÄ Ê²ºÞ³¼ÞÖ³ HD    PTP           100T00001000004143000004143000046502711  P2538        
D2012025060207608     0714987413300612¼ÞÔÃÞ²±Ý½ ¼ÞÖ³ 10MG   PTP   10MG    100T00001000016831000016831000188902707  589037       
D2012025060207608     0814987080023616ÛÍß×ÐÄÞ´Ý»Ý´Ý ¶Ìß¾Ù   PTP    1MG    100P00001000000548000000548000006102801  125202       
D2012025060207609     0114987080394013ÍÞ»ÞÌ²ÌÞ×-Ä SR ¼ÞÖ³   PTP  200MG    100T00001000000927000000927000010402707  724703       
D2012025060207609     0214987190020338´¿ÒÌß×¿Þ-Ù ¶Ìß¾Ù 20M  PTP   20MG    100P00001000003368000003368000037802610  12830        
D2012025060207609     0314987080034711¾ÝÉ¼ÄÞ ¼ÞÖ³ 12MG ¢»Ü  PTP   12MG    100T00002000000478000000956000005302811  724Y10       
D2012025060207609     0414987028266563ÒÁºÊÞ-Ù ¼ÞÖ³ 500Ï²¸Û  PTP  0.5MG  21TX1000001000001946000001946000021842707  49A33P       
D2012025060207609     0514987081185719Ì´ÌÞ·¿½ÀÂÄ ¼ÞÖ³ 10MG  PTP   10MG    100T00001000000554000000554000006102709  50273        
D2012025060207609     0614987901017701ØËßÄ-Ù ¼ÞÖ³ 10MG      PTP   10MG    100T00001000002183000002183000024502705  24006N1      
D2012025060207609     0714987081182664Û»ÙÀÝ K ¼ÞÖ³ 25MG ¢D  PTP   25MG    100T00001000000945000000945000010402708  B3A0138      
D2012025060207609     0814987123872812¼Û½À¿Þ-Ù ¼ÞÖ³ 50MG ¢  PTP   50MG    100T00001000000945000000945000010402706  H20069       
D2012025060207610     0114987081186518ÃÙÐ»ÙÀÝ ¼ÞÖ³ 40MG ¢D  PTP   40MG  14TX1000001000002201000002201000024222709  489050       
D2012025060207610     0214987081186556ÃÙÐ»ÙÀÝ ¼ÞÖ³ 80MG ¢D  PTP   80MG    100T00001000002327000002327000025602707  489010       
D2012025060207610     0314987376075510ËÞ¿ÌßÛÛ-ÙÌÏÙ»Ý´Ý ¼ÞÖ¢ÆÁ²º³£  PTP    100T00001000000927000000927000010402712  LP0101       
D2012025060207610     0414987058172384±ÙÌ±¶Ù¼ÄÞ-Ù ¼ÞÖ³ 0.5  PTP  0.5Ï²¸ÛG 100T00001000000544000000544000006102801  2510         
D2012025060207610     0514987188412176Ó-×½ Ã-Ìß L 40MG     10CMX14CM 7Ï²X10Ì¸Û00001000001721000001721000019322703  C409U        
E200000230000212506021001                                                                                                       
