S20902690019 05262978170000250623190003128128          0526297817                                                               
D201202506249195029   0114987376097819¸ÛËßÄÞ¸ÞÚÙ¼ÞÖ³75MG¢SANIK£PTP 100T       00001000002900000002900000031902611  4K660A       
D201202506249195029   0214987123417280Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢À¹ÀÞÃÊÞ£ 100T       00001000000917000000917000010102707  H40285       
D201202506249195030   0114987058088036´½À¿Þ×Ñ¼ÞÖ³2MG¢±ÒÙ£PTP 2MG   100T       00001000000600000000600000006602712  2428         
E200000050000032506231900                                                                                                       
S20902020014 05262978172887250624050239128128          0526297817                                                               
D201202506240277547   0114987116140218±ÛÁÉÛ-Ù´Ý»Ý´Ý¼ÞÖ³10M  10MG PTP      100T00001000001200000001200000013202704  3119C        
D201202506240277567   0114987086220569×¸ÞÉ½NF¹²º³¾ÞØ-ÌÞÝÎß            12GX84Î³00001000003772000003772000041502804  P251641      
D201202506240277698   0114987497306715µÌÛ·»¼ÝÃÝ¶ÞÝ´·0.3%¢Æ      0.3%     5MLX500001000000693000000693000007632710  240031       
D201202506240277872   0114987233131762Ï²½Ø-¼ÞÖ³5MG           5MG PTP      100T00001000001591000001591000017502706  24014F1      
D201202506240277873   0114987614415504±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢»ÝÄÞ£       PTP      140T00001000002164000002164000021282708  P0317        
D201202506240277873   0214987080737414²º»ÍßÝÄ»Ý´ÁÙØÕ³¼ÞÖ³¶     900MG      84Î³00001000003146000003146000034612706  X24680       
D201202506240277873   0314987080197010¶Ó½ÀÂÄÒ¼Ù»Ý´Ý¼ÞÖ³100 100MG PTP      100T00002000000909000001818000010002710  524904       
D201202506240277873   0414987081189656¶Þ×ÝÀÐÝOD¼ÞÖ³4MG¢DSE   4MG PTP       56T00001000000937000000937000010302706  BB1B036      
D201202506240277873   0514987440442019¸´ÝÒÂÄÊ²ºÞ³¼ÞÖ³            PTP      100T00001000000628000000628000006102709  4300         
D201202506240277874   0114987080783015¼ÝÊÞ½ÀÁÝ¼ÞÖ³5MG¢SW£    5MG PTP      100T00001000001573000001573000017302801  524X01       
D201202506240277874   0214987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000007464000007464000082102609  Z005244      
D201202506240277874   0314987233105343½-¼ÞÔÇÊ²ºÞ³¼ÞÖ³            PTP      100T00001000016255000016255000178802707  24090M1      
D201202506240277874   0414987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00001000000482000000482000005302901  724Z01       
D201202506240277874   0514987081186464ÃÙÐ»ÙÀÝ¼ÞÖ³20MG¢DSEP  20MG PTP      140T00001000001324000001324000014562708  489026       
D201202506240277875   0114987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002202000002202000024222709  489052       
D201202506240277875   0214987413870511Ä×¾ÞÝÀ¼ÞÖ³5MG          5MG PTP      100T00001000010809000010809000118902802  589028       
D201202506240277875   0314987476113310Ä×È·»Ñ»Ý¼ÞÖ³250MG¢YD 250MG PTP      100T00001000001061000001061000010402801  Y25B07       
D201202506240277875   0414987350607935ÅÉÊß½Æ-ÄÞÙ2 34GX4MM    TN-3404      70ÎÝ00003000001145000003435000000003003  250408K      
D201202506240277875   0514987770529800ÊßÙÓÃÞ²±XR¼ÞÖ³0.2MG  0.2MG PTP      100T00001000005455000005455000060002802  IT5A         
D201202506240277876   0114987155165241ËÞÙÀÞ¸ÞØÌßÁÝ¼ÞÖ³50MG  50MG PTP      100T00001000001673000001673000018402710  D0018        
D201202506240277876   0214987081185740Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³20MG¢D  20MG PTP      100T00001000000945000000945000010402708  20209        
D201202506240277876   0314987188412176Ó-×½Ã-ÌßL40MG          10X14CM    7Ï²X1000001000001756000001756000019322704  C506U        
D201202506240277876   0414987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000002000001120000002240000012322802  30725        
D201202506240277877   0114987616003655µ¾ÞÝËßÂ¸Ë¶ÁÕ³2MG           2MG 1.5MLX1ÎÝ00002000010137000020274000111512703  PP5M714      
D201202506240277877   0214987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200002000002351000004702000025862610  RT6GK96      
D201202506240278207   0114987614415504±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢»ÝÄÞ£       PTP      140T00001000002164000002164000021282708  P0317        
D201202506240278207   0214987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000004227000004227000046502711  P2545        
D201202506240278207   0314987116530132´¸ÒÂÄÊ²ºÞ³¼ÞÖ³LD           PTP      100T00001000004291000004291000047202710  P0521        
D201202506240278207   0414987443384446´ÝÚ½Ä¼ÞÖ³200MG       200MG PTP      100T00001000017109000017109000188202710  P0765        
D201202506240278207   0514987901008303ÉÙÊÞ½¸¼ÞÖ³5MG          5MG PTP      100T00001000001245000001245000013702805  LT6703       
D201202506240278208   0114987116530347ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³500M 500MG PTP      100T00001000000945000000945000010402707  77019        
D201202506240278208   0214987081100316Û·¿ÆÝÃ-Ìß100MG         10X14CM    7Ï²X1000001000001120000001120000012322801  21325        
D201202506240278208   0314987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000000945000000945000010402706  89140        
D201202506240278208   0414987080023616ÛÍß×ÐÄÞ´Ý»Ý´Ý¶Ìß¾Ù1M   1MG PTP    100CAP00001000000555000000555000006102803  125301       
D201202506240278209   0114987616003655µ¾ÞÝËßÂ¸Ë¶ÁÕ³2MG           2MG 1.5MLX1ÎÝ00001000010137000010137000111512703  PP5M714      
E200000370000352506240502                                                                                                       
S20902690019 05262978170000250624070002128128          0526297817                                                               
D201202506249200641   0114987058146828ÍÞØÁ°Ñ Ê²ºÞ³¶ØÕ³ SP      1GX105Î³       00001000002500000002500000027512712  2464         
E200000030000012506240700                                                                                                       
