S20902690019 05262978170000250708124501128128          0526297817                                                               
D201202507099685718   0114987376097819¸ÛËßÄÞ¸ÞÚÙ¼ÞÖ³75MG¢SANIK£PTP 100T       00001000002900000002900000031902612  4K665A       
D201202507099685718   0214987123154352À¹·ÔÌÞ¼ÞÖ³10MG PTP    10MG 10TX10       00001000008562000008562000094302712  567654       
E200000040000022507081245                                                                                                       
S20902020014 05262978170929250708140249128128          0526297817                                                               
D201202507080303840   0114987901128605±ÑÛ¼ÞËßÝ¼ÞÖ³5MG¢VTRS   5MG PTP      100T00001000000945000000945000010402809  LY1376       
D201202507080303840   0214987294394120Ì´ÌÞØ¸¼ÞÖ³10MG        10MG PTP      100T00001000001291000001291000014202706  40370        
D201202507080303840   0314987155593020Û»ÙÀÝK¼ÞÖ³100MG¢Ä-Ü£ 100MG PTP      100T00001000002591000002591000028502904  A0089        
D201202507080303880   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000945000000945000010402710  J830         
D201202507080303908   0114987081100316Û·¿ÆÝÃ-Ìß100MG         10X14CM    7Ï²X1000001000001120000001120000012322801  22225        
D201202507080304289   0114987081189700¶Þ×ÝÀÐÝOD¼ÞÖ³8MG¢DSE   8MG PTP       56T00001000001227000001227000013502706  BB2B069      
D201202507080304289   0214987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014782000014782000162602708  24076Y1      
D201202507080304289   0314987901063005½ÏÄØÌßÀÝ¼ÞÖ³50MG¢VTR  50MG PTP       12T00002000001032000002064000011352712  ME9338       
D201202507080304289   0414987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00001000000482000000482000005302901  724Z01       
D201202507080304289   0514987080002017ËßÀÊÞ½ÀÁÝCA¼ÞÖ³2MG¢»   2MG PTP      100T00001000001445000001445000015902710  424X04       
D201202507080304290   0114987080681014Îß×ÌßÚ¼ÞÝ¸OD¼ÞÖ³75MG  75MG PTP      100T00001000001300000001300000014302801  B25104       
E200000130000112507081402                                                                                                       
S20902690019 05262978170000250708190003128128          0526297817                                                               
D201202507099706403   0114987376069519±ÄÙÊÞ½ÀÁÝ¼ÞÖ³10MG¢ÆÁº³£ PTP  100T       00001000000945000000945000010402708  HP0201       
D201202507099706404   0114987123872058¿ÞÙËßÃÞÑ¼Õ¾·»Ý´Ý¼ÞÖ³10M¢NIPT 100T       00001000001235000001235000013602702  GT0177       
E200000040000022507081900                                                                                                       
S20902020014 05262978172829250709050243128128          0526297817                                                               
D201202507090304573   0114987058146828ÍÞØÁ-ÑÊ²ºÞ³¶ØÕ³                 1GX105Î³00001000002804000002804000027512712  2469         
D201202507090304573   0214987080100119¸´Ý»ÝÀÞ²²ÁÃÂNA¼ÞÖ³50  50MG PTP      100T00001000000564000000564000006202804  725308       
D201202507090304573   0314987080515074Ìß×ÝÙ¶½Ä¶Ìß¾Ù112.5MG112.5MGPTP    140CAP00001000002978000002978000032762802  425102       
D201202507090304573   0414987081186754Ã×ÑÛÊ²ºÞ³¼ÞÖ³AP¢DSEP       PTP      100T00001000001945000001945000021402703  589004       
D201202507090304573   0514987155004168ÌÙ½ÙÁ±ÐÝ¼ÞÖ³25MG¢Ä-Ü  25MG PTP     1000T00001000005182000005182000057002711  A0767        
D201202507090305060   0114987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000002000001120000002240000012322802  31225        
D201202507090305582   0114987901110006±ÐÃ²-»Þ¶Ìß¾Ù12UG      12UG PTP    100CAP00001000004382000004382000048202811  W052DM       
D201202507090305582   0214987901128605±ÑÛ¼ÞËßÝ¼ÞÖ³5MG¢VTRS   5MG PTP      100T00001000000945000000945000010402809  LY1376       
D201202507090305582   0314987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000004227000004227000046502712  P2552        
D201202507090305582   0414987641077829¹ÄÌßÛÌ´ÝÊßÂÌßXR120MG     120MG      70Ï²00001000001120000001120000012322609  45191        
D201202507090305582   0514987286113500»Ý¶Ï¸ÞÈ¼³Ñ¼ÞÖ³330MG¢ 330MG PTP      100T00002000000536000001072000005902805  5I75         
D201202507090305583   0114987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000007464000007464000082102611  Z006017      
D201202507090305583   0214987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002202000002202000024222709  589001       
D201202507090305583   0314987476113310Ä×È·»Ñ»Ý¼ÞÖ³250MG¢YD 250MG PTP      100T00001000001061000001061000010402802  Y25C64       
D201202507090305583   0414987080670018×ÍÞÌß×¿Þ-ÙNA¼ÞÖ³10MG  10MG PTP      100T00001000002182000002182000024002705  724501       
D201202507090305583   0514987081189939Û·¿ÌßÛÌ´ÝNAÃ-Ìß50MG¢      50MG    7Ï²X1000001000000808000000808000008892804  50125        
D201202507090305584   0114987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001120000001120000012322802  31225        
E200000190000172507090502                                                                                                       
