S20902690019 05262978170000250714120002128128          0526297817                                                               
D201202507149845244   0114987222697415SPÄÛ°Á0.25MG¢Ò²¼Þ£  PTP     1200T       00001000006436000006436000070802905  04662        
D201202507149845657   0114987376315814²Ì´ÝÌßÛ¼ÞÙ¼Õ¾·»Ý´Ý¼ÞÖ³10MGPT 100T       00001000000536000000536000005902709  J00300       
D201202507149845657   0214987123149402È¼°Å¼ÞÖ³25MG PTP      25MG 10TX10       00001000014178000014178000156702708  567187       
D201202507149845657   0314987123136389ÌÞÛÌßÚ½ ¼ÞÖ³8 PTP      8MG   100T       00001000003968000003968000043702701  KB041        
D201202507149845659   0114987058565032ÌÙÆÄ×¾ÞÊßÑ¼ÞÖ³1MG±ÒÙPTP1MG   100T       00001000000536000000536000005902801  2447         
E200000070000052507141200                                                                                                       
S20902690019 05262978170000250714124502128128          0526297817                                                               
D201202507159849459   0114987376069410±ÄÙÊÞ½ÀÁÝ¼ÞÖ³5MG¢ÆÁ²º³£ PTP  100T       00001000000945000000945000010402706  FP0201       
E200000030000012507141245                                                                                                       
S20902020014 05262978170987250714140253128128          0526297817                                                               
D201202507140318565   0114987081100811Ì´ÉÊÞ-Ù¼ÞÖ³30MG       30MG PTP      100T00003000000945000002835000010402910  Q03N         
D201202507140318921   0114987028234784»²Ú-½¼ÞÖ³1MG(¼·ÁÖ³ÍÝ   1MG PTP      100T00001000000673000000673000007402701  43R63F       
D201202507140318922   0114987128006496ÃÞÊß½¼ÞÖ³0.5MG       0.5MG PTP      100T00001000000864000000864000009502709  J639         
D201202507140318923   0114987081107803ËÞÑÊßÂÄÄÞ×²¼ÛÂÌß10%        10%      100G00003000035545000106635000391002711  419042       
D201202507140318923   0214987173015818±½ÞÉ-Ù³¶Þ²´·4%              4%  5MLX10ÎÝ00001000001105000001105000012152802  04151        
D201202507140318923   0314987901128209±ÑÛ¼ÞËßÝ¼ÞÖ³2.5MG¢VT 2.5MG PTP      100T00001000000945000000945000010402809  LX0860       
D201202507140318923   0414987901128605±ÑÛ¼ÞËßÝ¼ÞÖ³5MG¢VTRS   5MG PTP      100T00001000000945000000945000010402809  LY1376       
D201202507140318923   0514987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00002000004227000008454000046502712  P2554        
D201202507140318924   0114987155152074´ÙÃÞ¶Ù¼Ä-Ù¶Ìß¾Ù0.75U0.75UG PTP    100CAP00001000001755000001755000019302712  D0818        
D201202507140318924   0214987641077829¹ÄÌßÛÌ´ÝÊßÂÌßXR120MG     120MG      70Ï²00001000001120000001120000012322609  45191        
D201202507140318924   0314987057251097ºÆ-Ù¼ÞÖ³4              4MG PTP      100T00001000001564000001564000017202705  215ADE       
D201202507140318924   0414987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014782000014782000162602708  24078Y1      
D201202507140318924   0514987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002202000002202000024222709  589001       
D201202507140318925   0114987476113310Ä×È·»Ñ»Ý¼ÞÖ³250MG¢YD 250MG PTP      100T00001000001061000001061000010402802  Y25C68       
D201202507140318925   0214987901008303ÉÙÊÞ½¸¼ÞÖ³5MG          5MG PTP      100T00001000001245000001245000013702805  LT6703       
D201202507140318925   0314987155165241ËÞÙÀÞ¸ÞØÌßÁÝ¼ÞÖ³50MG  50MG PTP      100T00001000001673000001673000018402710  D0019        
D201202507140318925   0414987080598015Ëßµ¸ÞØÀ¿ÞÝ¼ÞÖ³15MG¢»  15MG PTP      100T00001000001064000001064000011702707  424801       
D201202507140318925   0514987081185719Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³10MG¢D  10MG PTP      100T00001000000555000000555000006102710  50285        
D201202507140318926   0114987312126641ÐÔBM¼ÞÖ³                   PTP      100T00002000000536000001072000005902805  782C6        
D201202507140318926   0214987081107032Ø¸¼±ÅOD¼ÞÖ³30MG       30MG PTP      100T00001000037391000037391000411302801  UMA0733      
D201202507140318926   0314987080152118ÚÊß¸ÞØÆÄÞ¼ÞÖ³0.25MG¢0.25MG PTP      100T00001000000673000000673000007402801  524Z06       
D201202507140318926   0414987081189939Û·¿ÌßÛÌ´ÝNAÃ-Ìß50MG¢      50MG    7Ï²X1000001000000808000000808000008892804  50125        
D201202507140318926   0514987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000004000001120000004480000012322802  31225        
D201202507140318927   0114987616005062µ¾ÞÝËßÂ¸Ë¶ÁÕ³2MG           2MG 1.5MLX2ÎÝ00002000020252000040504000223022705  PP5M864      
D201202507140319057   0114987901128209±ÑÛ¼ÞËßÝ¼ÞÖ³2.5MG¢VT 2.5MG PTP      100T00001000000945000000945000010402809  LX0860       
D201202507140319057   0214987155152074´ÙÃÞ¶Ù¼Ä-Ù¶Ìß¾Ù0.75U0.75UG PTP    100CAP00001000001755000001755000019302712  D0818        
D201202507140319057   0314987080406112×Û·¼Ì´Ý´Ý»Ý´Ý¼ÞÖ³60M  60MG PTP      100T00001000001964000001964000021602710  424X06       
D201202507140319057   0414987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000000945000000945000010402706  89640        
D201202507140319058   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00002000003036000006072000033402701  PP5N615      
E200000310000292507141402                                                                                                       
