S20902690019 05262978170000250729124501128128          0526297817                                                               
D201202507301291067   0114987376097819¸ÛËßÄÞ¸ÞÚÙ¼ÞÖ³75MG¢SANIK£PTP 100T       00001000002900000002900000031902702  5K682A       
D201202507301291067   0214987123418164ÃÞÕÀ½ÃØÄÞ ¶Ìß¾Ù0.5MGAV¢ÃÊÞPTP30CP       00001000000731000000731000008042807  7E3W         
D201202507301291068   0114987058565032ÌÙÆÄ×¾ÞÊßÑ¼ÞÖ³1MG±ÒÙPTP1MG   100T       00001000000536000000536000005902801  2449         
D201202507301293938   0114987938000226ÈØ¿ÞÅÕÆÊÞ°»Ù¸Ø°Ñ0.1%  0.1% 10GX10       00001000001545000001545000017002911  Y4KL         
E200000060000042507291245                                                                                                       
S20902020014 05262978170922250729140257128128          0526297817                                                               
D201202507290356882   0114987476170306±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢YD£         PTP      100T00001000001551000001551000015202801  Y25B04       
D201202507290356882   0214987901128605±ÑÛ¼ÞËßÝ¼ÞÖ³5MG¢VTRS   5MG PTP      100T00001000000945000000945000010402809  LY1378       
D201202507290356882   0314987057432342±ÚÛÂ¸¼ÞÖ³5             5MG PTP      100T00001000001882000001882000020702706  487PDF       
D201202507290356882   0414987190020338´¿ÒÌß×¿Þ-Ù¶Ìß¾Ù20MG¢  20MG PTP    100CAP00001000003436000003436000037802702  13540        
D201202507290356882   0514987080680017¶ÙÍÞ¼ÞÛ-Ù¼ÞÖ³2.5MG¢» 2.5MG PTP      100T00001000000945000000945000010402706  724805       
D201202507290356883   0114987128064137ÀØµÝ¼ÞÖ³10MG          10MG PTP      100T00001000001845000001845000020302712  J852         
D201202507290356883   0214987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002202000002202000024222709  589003       
D201202507290356883   0314987155165241ËÞÙÀÞ¸ÞØÌßÁÝ¼ÞÖ³50MG  50MG PTP      100T00001000001673000001673000018402710  D0019        
D201202507290356883   0414987081185719Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³10MG¢D  10MG PTP      100T00001000000555000000555000006102711  50291        
D201202507290356883   0514987158328704ÌÞ²ÀÏ-¸Ø-Ñ1%                1%     15GX100002000004102000008204000045122607  Y82V         
D201202507290356884   0114987901130509ÌßÚ¶ÞÊÞØÝOD¼ÞÖ³75MG¢  75MG PTP      100T00001000001664000001664000018302709  MC0803       
D201202507290356884   0214987087003871ØÝÃÞÛÝ-VG¸Ø-Ñ0.12%       0.12%   5GX10²Ø00001000001259000001259000013852805  5858         
D201202507290356884   0314987035209713ÚÊÞÐËßÄÞ¼ÞÖ³100MG¢µ- 100MG PTP      500T00001000004727000004727000052002804  5D72RT2      
D201202507290356884   0414987155592016Û»ÙÀÝK¼ÞÖ³50MG¢Ä-Ü£   50MG PTP      100T00001000001755000001755000019302911  A0214        
D201202507290356885   0114987428143303ÄÙØ¼Ã²Ë¶ÁÕ³0.75MG±Ãµ    0.75MG      2·ÂÄ00002000004998000009996000054982612  D871746AA    
D201202507290356886   0114987616005062µ¾ÞÝËßÂ¸Ë¶ÁÕ³2MG           2MG 1.5MLX2ÎÝ00001000020252000020252000223022705  PP5M893      
D201202507290356886   0214987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00003000003036000009108000033402701  PP5N832      
E200000190000172507291402                                                                                                       
