S20902020014 05262978170133250827100253128128          0526297817                                                               
D202202508270455567   0114987035654506²É×½Ê²ºÞ³¹²ÁÖ³Ö³´·      Ö-¸ÞÙÄ187.5MLX2800002000006588000013176000074032604  B2505143     
D202202508270455567   0214987035654803²É×½Ê²ºÞ³¹²ÁÖ³Ö³´·        ²ÁºÞ187.5MLX2800002000006588000013176000074032604  H2505161     
D202202508270455567   0314987035662204²É×½Ê²ºÞ³¹²ÁÖ³Ö³´·        º³ÁÔ  125MLX2800002000004396000008792000049352605  U2506021     
D202202508270455567   0414987080035510´Å×ÌßØÙÏÚ²Ý»Ý´Ý¼ÞÖ³5   5MG PTP      100T00001000000925000000925000010402801  524Z02       
D202202508270455570   0114987080323013¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢» 250MG PTP      100T00001000000945000000945000010403002  624Z04       
D202202508270455571   0114987080323013¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢» 250MG PTP      100T00001000000945000000945000010403002  624Z07       
D202202508270455571   0214987155244175¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢Ä 250MG PTP     1000T00001000009450000009450000104002802  D3008        
D202202508270455572   0114987080398011´ËßÅ½ÁÝ´Ý»Ý´Ý¼ÞÖ³20M  20MG PTP      100T00001000001653000001653000018202802  524Y02       
D202202508270455572   0214987081189458´¾ÞÁÐÌÞ¼ÞÖ³10MG¢DSEP  10MG PTP      100T00001000002732000002732000030702709  Z007779      
D202202508270455572   0314987155152050´ÙÃÞ¶Ù¼Ä-Ù¶Ìß¾Ù0.5UG 0.5UG PTP    100CAP00001000001153000001153000013102709  D0123        
D202202508270455580   0114987443384415´ÝÚ½Ä¼ÞÖ³100MG       100MG PTP      100T00001000008582000008582000106902706  P0212        
D202202508270455580   0214987792291815±¿Þ¾ÐÄÞ¼ÞÖ³30MG       30MG PTP      100T00001000000925000000925000010402711  JLB41        
D202202508270455581   0114987155244175¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢Ä 250MG PTP     1000T00002000009450000018900000104002803  D3021        
D202202508270455581   0214987155244175¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢Ä 250MG PTP     1000T00002000009450000018900000104002803  D3042        
D202202508270455581   0314987858100044±½ÄÐÝ¼ÞÖ³10MG         10MG PTP      100T00005000000625000003125000006802706  H058R01      
D202202508270455582   0114987858100044±½ÄÐÝ¼ÞÖ³10MG         10MG PTP      100T00005000000693000003465000006802706  H061R01      
D202202508270455582   0214987858100044±½ÄÐÝ¼ÞÖ³10MG         10MG PTP      100T00010000000693000006930000006802706  H070R01      
D202202508270455582   0314987858100044±½ÄÐÝ¼ÞÖ³10MG         10MG PTP      100T00010000000693000006930000006802706  H070R01      
D202202508270455582   0414987858100044±½ÄÐÝ¼ÞÖ³10MG         10MG PTP      100T00010000000693000006930000006802706  K004R01      
D202202508270455583   0114987896010824¶ÛÅ-Ù¼ÞÖ³200         200MG PTP     1000T00001000005963000005963000067002803  2503868      
D202202508270455584   0114987925113625Ú½ÌßÚÝ¼ÞÖ³30MG        30MG PTP      500T00003000004640000013920000045503001  25A120G      
D202202508270455584   0214987925113625Ú½ÌßÚÝ¼ÞÖ³30MG        30MG PTP      500T00002000004640000009280000045503001  25A130G      
