S20902020014 05262978172649250828050251128128          0526297817                                                               
D201202508280456447   0114987901117500Ì´Û¥¸Þ×ÃÞÕÒÂÄ¼ÞÖ³105 105MG PTP      100T00002000000551000001102000006102709  38115YQ1     
D201202508280456918   0114987173015818±½ÞÉ-Ù³¶Þ²´·4%              4%  5MLX10ÎÝ00001000001081000001081000012152803  04159        
D201202508280456918   0214987901128605±ÑÛ¼ÞËßÝ¼ÞÖ³5MG¢VTRS   5MG PTP      100T00001000000883000000883000010402809  LY1378       
D201202508280456918   0314987443384446´ÝÚ½Ä¼ÞÖ³200MG       200MG PTP      100T00001000016618000016618000188202711  P0838        
D201202508280456918   0414987233105343½-¼ÞÔÇÊ²ºÞ³¼ÞÖ³            PTP      100T00001000015734000015734000178802708  25002M1      
D201202508280456918   0514987306066212ËÞµÌ´ÙÐÝ¼ÞÖ³»Þ²            PTP      630T00001000003290000003290000037172807  175H1        
D201202508280456919   0114987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500003000001081000003243000000003003  RS7D02B-1    
D201202508280456919   0214987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000002000001057000002114000012322804  50225        
D201202508280456920   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00003000002989000008967000033402702  RP5P510      
D201202508280456950   0114987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000003003  RS7D02B-1    
D201202508280456951   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00002000002989000005978000033402702  RP5P510      
E200000130000112508280502                                                                                                       
