S20902020014 05262978173204250902050243128128          0526297817                                                               
D201202509020474494   0114987155593020Û»ÙÀÝK¼ÞÖ³100MG¢Ä-Ü£ 100MG PTP      100T00001000002537000002537000028503001  A0104        
D201202509020475254   0114987058565032ÌÙÆÄ×¾ÞÊßÑ¼ÞÖ³1MG¢±Ò   1MG PTP      100T00001000000524000000524000005902803  2456         
D201202509020475255   0114987476170306±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢YD£         PTP      100T00003000001551000004653000015202801  Y25B06       
D201202509020475255   0214987901128605±ÑÛ¼ÞËßÝ¼ÞÖ³5MG¢VTRS   5MG PTP      100T00001000000883000000883000010402809  LY1378       
D201202509020475255   0314987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00001000000477000000477000005302902  725105       
D201202509020475255   0414987047211346ÌßÙ¾ÞÆÄÞ¼ÞÖ³12MG      12MG PTP      100T00001000000601000000601000005902706  249A59S      
D201202509020475255   0514987224143811ÕØ½¼ÞÖ³1MG             1MG PTP      100T00001000003731000003731000042402709  J190P        
D201202509020475256   0114987081107032Ø¸¼±ÅOD¼ÞÖ³30MG       30MG PTP      100T00001000035989000035989000411302804  UMA0750      
D201202509020475256   0214987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000000925000000925000010402708  92640        
D201202509020475256   0314987087003871ØÝÃÞÛÝ-VG¸Ø-Ñ0.12%       0.12%   5GX10²Ø00001000001223000001223000013852805  5861         
D201202509020475256   0414987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001057000001057000012322804  50325        
E200000130000112509020502                                                                                                       
S20902960013 05262978170000250902060021128128          0526297817                                                               
D2012025090216623002691014987058146828ÍÞØÁ-ÑÊ²ºÞ³¶ØÕ³ 1GX105Î³                00002000002477000004954000027512801312472         
D2012025090216623473501014987246745222±ÄÞ´±250ÃÞ²½¶½ 60ÌÞØ½ÀX1                00001000003265000003265000036252611306N8X-A       
E200000040000022509020600                                                                                                       
S20901660013 05262978170000250901220639128128          0526297817                                                               
D2012025090214494     0114987376711005ÍÞÀË½ÁÝÒ¼Ù»Ý´Ý ¼ÞÖ³ £ PTP    6MG    100T00001000000562000000562000006302802  L00500       
D2012025090214494     0214987123875240ÌÛ¾ÐÄÞ ¼ÞÖ³ 20MG ¢NI  PTP   20MG    100T00001000000562000000562000006302802  H90467       
D2012025090214494     0314987614413104ÊÞÙ»ÙÀÝ ¼ÞÖ³ 160MG ¢  PTP  160MG    100T00001000001622000001622000018202706  P0052        
D2012025090214494     0414987123415880×Ý¿Ìß×¿Þ-Ù OD¼ÞÖ³ 15  PTP   15MG    100T00001000001007000001007000011302802  LC381        
D2012025090214494     0514987080680017¶ÙÍÞ¼ÞÛ-Ù ¼ÞÖ³ 2.5MG  PTP  2.5MG    100T00005000000928000004640000010402706  724808       
D2012025090214494     0614987123417280Û·¿ÌßÛÌ´ÝNA ¼ÞÖ³ 60M  PTP   60MG    100T00003000000900000002700000010102709  H60419       
D2012025090214494     0714987123003452±¼ÞÙ»ÙÀÝ ¼ÞÖ³ 20MG ¢  PTP   20MG    100T00001000002691000002691000030202712  TA0068       
D2012025090214494     0814987047211346ÌßÙ¾ÞÆÄÞ ¼ÞÖ³ 12MG    PTP   12MG    100T00002000000536000001072000005902706  249A59S      
D2012025090214495     0114987123873758¼ÞÌ´ÆÄÞ-Ù´Ý»Ý´Ý ¼ÞÖ³  PTP   25MG    100T00001000000526000000526000005902802  HA0303       
D2012025090214495     0214987476170306±ÑÊÞÛ Ê²ºÞ³¼ÞÖ³ ¢YD£  PTP           100T00002000001382000002764000015202801  Y25B06       
D2012025090214495     0314987123407915Ì±ÓÁ¼ÞÝ OD ¼ÞÖ³ 20MG  PTP   20MG    100T00001000000927000000927000010402712  H70349       
D2012025090214495     0414987286105147·Ö³ÆÝ½² ¢¹Ý´-£                     500ML00001000000761000000761000008552902  5F02         
D2012025090214495     0514987376069410±ÄÙÊÞ½ÀÁÝ ¼ÞÖ³ 5MG ¢  PTP    5MG    100T00001000000945000000945000010402708  HP0101       
D2012025090214495     0614987476156201¶ÙÊÞ¿Þ¸ÛÑ½ÙÎÝ»ÝNA ¼ÞD£  PTP  30MG   100T00001000000554000000554000006102805  Y25F05       
D2012025090214495     0714987376097819¸ÛËßÄÞ¸ÞÚÙ ¼ÞÖ³ 75MG  PTP   75MG    100T00001000002900000002900000031902708  5K694A       
D2012025090214495     0814987376616218ÍÊßØÝ Ù²¼ÞÌÞÂ¼Â Õ¾²¸¢ÆÁ²º³£       25GX1000001000000840000000840000009252804  DR112        
E200000180000162509012206                                                                                                       
