product_code,product_name,maker_name,package_spec,purchase_price
"4987123873413","アテノロール錠５０ｍｇ「ＮＩＧ」","武田薬品工業","ＰＴＰ 100錠 (1錠×100)",""
"4987614415528","アムバロ配合錠「サンド」","サンド","ＰＴＰ 700錠 (1錠×700)",""
"4987614415511","アムバロ配合錠「サンド」","サンド","ＰＴＰ 500錠 (1錠×500)",""
"4987792220075","アムバロ配合錠「ＪＧ」","日本ジェネリック","ＰＴＰ 140錠 (1錠×140)",""
"4987901126809","アムロジピンＯＤ錠１０ｍｇ「ＶＴＲＳ」","ヴィアトリス製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987213110206","アメナリーフ錠２００ｍｇ","マルホ","ＰＴＰ 14錠 (1錠×14)",""
"4987080396031","アロプリノール錠１００ｍｇ「サワイ」","沢井製薬","ＰＴＰ 1000錠 (1錠×1000)",""
"4987155034103","アンブロキソール塩酸塩錠１５ｍｇ「トーワ」","東和薬品","ＰＴＰ 100錠 (1錠×100)",""
"4987080128021","イトプリド塩酸塩錠５０ｍｇ「サワイ」","沢井製薬","ＰＴＰ 500錠 (1錠×500)",""
"4987672835566","イトリゾールカプセル５０","ヤンセンファーマ","ＰＴＰ 56カプセル (1カプセル×56)",""
"4987035654605","イノラス配合経腸用液","大塚製薬","調剤用 5250ＭＬ (1ＭＬ×5250)",""
"4987035662204","イノラス配合経腸用液","大塚製薬","調剤用 3500ＭＬ (1ＭＬ×3500)",""
"4987035654803","イノラス配合経腸用液","大塚製薬","調剤用 5250ＭＬ (1ＭＬ×5250)",""
"4987081181179","イミダプリル塩酸塩錠５ｍｇ「ＤＳＥＰ」","第一三共","ＰＴＰ 100錠 (1錠×100)",""
"4987116530187","エクメット配合錠ＨＤ","住友ファーマ","ＰＴＰ 500錠 (1錠×500)",""
"4987058297032","エスゾピクロン錠３ｍｇ「アメル」","共和薬品工業","ＰＴＰ 100錠 (1錠×100)",""
"4987058296035","エスゾピクロン錠２ｍｇ「アメル」","共和薬品工業","ＰＴＰ 100錠 (1錠×100)",""
"4582795820200","エスワンタイホウ配合ＯＤ錠Ｔ２０","岡山大鵬薬品","ＰＴＰ 56錠 (1錠×56)",""
"4987035031413","エビリファイ散１％","大塚製薬","バラ 100Ｇ (1Ｇ×100)",""
"4987155760057","エピナスチン塩酸塩錠２０ｍｇ「トーワ」","東和薬品","ＰＴＰ 100錠 (1錠×100)",""
"4987274136627","塩化カリウム徐放錠６００ｍｇ「Ｓｔ」","アルフレッサファーマ","ＰＴＰ 1000錠 (1錠×1000)",""
"4987155273045","オランザピン錠２．５ｍｇ「トーワ」","東和薬品","ＰＴＰ 100錠 (1錠×100)",""
"4987138800145","ツムラ葛根湯エキス顆粒（医療用）","ツムラ","分包 105Ｇ (2.5Ｇ×42包)",""
"4987120223808","カルボシステインＤＳ５０％「タカタ」","高田製薬","バラ 100Ｇ (1Ｇ×100)",""
"4987896010824","カロナール錠２００","あゆみ製薬","ＰＴＰ 1000錠 (1錠×1000)",""
"4987306054295","クラリスロマイシン錠２００ｍｇ「大正」","大正製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987087043167","クービビック錠５０ｍｇ","塩野義製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987051183141","グルベス配合錠","キッセイ薬品工業","ＰＴＰ 500錠 (1錠×500)",""
"4987173017157","コルドリン錠１２．５ｍｇ","日本新薬","ＰＴＰ 100錠 (1錠×100)",""
"4987028234807","サイレース錠１ｍｇ","エーザイ","ＰＴＰ 1000錠 (1錠×1000)",""
"4987087043303","サインバルタカプセル２０ｍｇ","塩野義製薬","ＰＴＰ 100カプセル (1カプセル×100)",""
"4987123410533","サラザック配合顆粒","武田薬品工業","分包 120Ｇ (1Ｇ×120包)",""
"4987919100778","サワシリン錠２５０","ＬＴＬファーマ","ＳＰ 100錠 (1錠×100)",""
"4987047211018","ザジテンカプセル１ｍｇ","サンファーマ","ＰＴＰ 100カプセル (1カプセル×100)",""
"4987954807182","シングレア錠１０ｍｇ","オルガノン","ＰＴＰ 140錠 (1錠×140)",""
"4987058231289","ジアゼパム錠２ｍｇ「アメル」","共和薬品工業","ＰＴＰ 100錠 (1錠×100)",""
"4987476171907","ジメチコン錠４０ｍｇ「ＹＤ」","陽進堂","ＰＴＰ 100錠 (1錠×100)",""
"4987476171914","ジメチコン錠４０ｍｇ「ＹＤ」","陽進堂","ＰＴＰ 1000錠 (1錠×1000)",""
"4987185809917","ジャヌビア錠５０ｍｇ","ＭＳＤ","ＰＴＰ 140錠 (1錠×140)",""
"4987185809931","ジャヌビア錠５０ｍｇ","ＭＳＤ","ＰＴＰ 700錠 (1錠×700)",""
"4987138804846","ツムラ十全大補湯エキス顆粒（医療用）","ツムラ","分包 105Ｇ (2.5Ｇ×42包)",""
"4987138804839","ツムラ十全大補湯エキス顆粒（医療用）","ツムラ","分包 472.5Ｇ (2.5Ｇ×189包)",""
"4987138805133","ツムラ潤腸湯エキス顆粒（医療用）","ツムラ","分包 472.5Ｇ (2.5Ｇ×189包)",""
"4987376007337","スピロノラクトン錠２５ｍｇ「日医工」","日医工","ＰＴＰ 1000錠 (1錠×1000)",""
"4987155150094","セフジニルカプセル１００ｍｇ「トーワ」","東和薬品","ＰＴＰ 100カプセル (1カプセル×100)",""
"4987919100792","セフゾンカプセル１００ｍｇ","ＬＴＬファーマ","ＰＴＰ 500カプセル (1カプセル×500)",""
"4987376017510","ゾルピデム酒石酸塩錠１０ｍｇ「日医工」","日医工","ＰＴＰ 100錠 (1錠×100)",""
"4987080292012","ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」","沢井製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987081102617","テネリア錠２０ｍｇ","第一三共","ＰＴＰ 100錠 (1錠×100)",""
"4987476119855","テプレノンカプセル５０ｍｇ「ＹＤ」","陽進堂","ＰＴＰ 100カプセル (1カプセル×100)",""
"4987080132714","テラムロ配合錠ＡＰ「サワイ」","沢井製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987081186501","テルミサルタン錠４０ｍｇ「ＤＳＥＰ」","第一三共","ＰＴＰ 500錠 (1錠×500)",""
"4987081186563","テルミサルタン錠８０ｍｇ「ＤＳＥＰ」","第一三共","ＰＴＰ 140錠 (1錠×140)",""
"4987128003358","デパス錠０．５ｍｇ","田辺三菱製薬","ＰＴＰ 500錠 (1錠×500)",""
"4987142431113","トラセミドＯＤ錠８ｍｇ「ＴＥ」","トーアエイヨー","ＰＴＰ 100錠 (1錠×100)",""
"4987071174020","トラマドール塩酸塩ＯＤ錠２５ｍｇ「ＫＯ」","寿製薬","ＰＴＰ 500錠 (1錠×500)",""
"4987614410509","ドネペジル塩酸塩ＯＤ錠３ｍｇ「サンド」","サンド","ＰＴＰ 14錠 (1錠×14)",""
"4987080266365","ナルフラフィン塩酸塩ＯＤ錠２．５μｇ「サワイ」","沢井製薬","ＰＴＰ 14錠 (1錠×14)",""
"4987080633136","ニコランジル錠５ｍｇ「サワイ」","沢井製薬","ＰＴＰ 1000錠 (1錠×1000)",""
"4987080038313","ニルバジピン錠４ｍｇ「サワイ」","沢井製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987901008600","ノルバスク錠５ｍｇ","ヴィアトリス製薬","ＰＴＰ 700錠 (1錠×700)",""
"4987155099102","バルサルタン錠８０ｍｇ「トーワ」","東和薬品","ＰＴＰ 500錠 (1錠×500)",""
"4987246716178","パキシル錠５ｍｇ","グラクソ・スミスクライン","ＰＴＰ 100錠 (1錠×100)",""
"4987476158700","パンテチン錠１００ｍｇ「ＹＤ」","陽進堂","ＰＴＰ 100錠 (1錠×100)",""
"4987123127158","ビタノイリンカプセル５０","武田薬品工業","ＰＴＰ 100カプセル (1カプセル×100)",""
"4987117630015","ビラノア錠２０ｍｇ","大鵬薬品工業","ＰＴＰ 100錠 (1錠×100)",""
"4987901078504","ピオグリタゾン錠３０ｍｇ「ＶＴＲＳ」","ヴィアトリス製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987020020118","ピコスルファートナトリウム内用液０．７５％「イワキ」","岩城製薬","包装小 100ＭＬ (10ＭＬ×10瓶)",""
"4987080119814","ピコスルファートＮａ錠２．５ｍｇ「サワイ」","沢井製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987124700619","ピムロ顆粒","辰巳化学","分包 300Ｇ (0.5Ｇ×600包)",""
"4987080615033","ピーエイ配合錠","沢井製薬","ＰＴＰ 1000錠 (1錠×1000)",""
"4987813702054","ピーエイ配合錠","ニプロＥＳファーマ","ＰＴＰ 1000錠 (1錠×1000)",""
"4987080615019","ピーエイ配合錠","沢井製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987104021314","ピーエイ配合錠","全星薬品工業","ＰＴＰ 1000錠 (1錠×1000)",""
"4987104021307","ピーエイ配合錠","全星薬品工業","ＰＴＰ 100錠 (1錠×100)",""
"4987376556736","フェキソフェナジン塩酸塩錠６０ｍｇ「ＳＡＮＩＫ」","日医工","ＰＴＰ 500錠 (1錠×500)",""
"4987080674016","フルボキサミンマレイン酸塩錠２５ｍｇ「サワイ」","沢井製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987123874540","フロセミド錠１０ｍｇ「ＮＩＧ」","武田薬品工業","ＰＴＰ 100錠 (1錠×100)",""
"4987080773016","プラバスタチンＮａ錠５ｍｇ「サワイ」","沢井製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987376056823","プランルカストカプセル１１２．５ｍｇ「日医工」","日医工","ＰＴＰ 140カプセル (1カプセル×140)",""
"4987047211360","プルゼニド錠１２ｍｇ","サンファーマ","ＰＴＰ 1000錠 (1錠×1000)",""
"4987901130103","プレガバリンＯＤ錠１５０ｍｇ「ＶＴＲＳ」","ヴィアトリス製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987051669126","ベオーバ錠５０ｍｇ","キッセイ薬品工業","ＰＴＰ 100錠 (1錠×100)",""
"4987081109210","ベルソムラ錠１５ｍｇ","第一三共","ＰＴＰ 100錠 (1錠×100)",""
"4987901119801","ポリフル細粒８３．３％","ヴィアトリス製薬","分包 63Ｇ (0.6Ｇ×105包)",""
"4987042248101","ミオナール錠５０ｍｇ","科研製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987413660525","ミカルディス錠２０ｍｇ","日本ベーリンガーインゲルハイム","ＰＴＰ 140錠 (1錠×140)",""
"4987035184812","ムコスタ錠１００ｍｇ","大塚製薬","ＰＴＰ 1050錠 (1錠×1050)",""
"4987060005342","ムコダイン錠２５０ｍｇ","杏林製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987060005359","ムコダイン錠２５０ｍｇ","杏林製薬","ＰＴＰ 500錠 (1錠×500)",""
"4987813741053","メチエフ散１０％","ニプロＥＳファーマ","バラ 100Ｇ (1Ｇ×100)",""
"4987190007568","メチエフ散１０％","ニプロ","バラ 100Ｇ (1Ｇ×100)",""
"4987028266570","メチコバール錠５００μｇ","エーザイ","ＰＴＰ 1050錠 (1錠×1050)",""
"4987116530026","メトグルコ錠２５０ｍｇ","住友ファーマ","ＰＴＰ 1000錠 (1錠×1000)",""
"4987081184309","メトホルミン塩酸塩錠５００ｍｇＭＴ「ＤＳＥＰ」","第一三共","ＰＴＰ 100錠 (1錠×100)",""
"4987042231004","メリスロン錠６ｍｇ","科研製薬","ＰＴＰ 100錠 (1錠×100)",""
"4987028225577","ユベラＮソフトカプセル２００ｍｇ","エーザイ","ＰＴＰ 210カプセル (1カプセル×210)",""
"4987035654209","ラコールＮＦ配合経腸用液","大塚製薬","調剤用 5600ＭＬ (1ＭＬ×5600)",""
"4987123415897","ランソプラゾールＯＤ錠１５ｍｇ「武田テバ」","武田薬品工業","ＰＴＰ 500錠 (1錠×500)",""
"4987080152125","レパグリニド錠０．２５ｍｇ「サワイ」","沢井製薬","ＰＴＰ 500錠 (1錠×500)",""
"4987158327158","レミッチＯＤ錠２．５μｇ","鳥居薬品","ＰＴＰ 14錠 (1錠×14)",""
"4987081105410","ロキソニン錠６０ｍｇ","第一三共","ＰＴＰ 1000錠 (1錠×1000)",""
"4987123417303","ロキソプロフェンＮａ錠６０ｍｇ「武田テバ」","武田薬品工業","バラ 1200錠 (1錠×1200)",""
"4987211100322","亜鉛華（１０％）単軟膏「ニッコー」","丸石製薬","調剤用 500Ｇ (1Ｇ×500)",""
"4987042342014","アドフィードパップ４０ｍｇ","科研製薬","包装小 120枚 (1枚×120)",""
"4987042342076","アドフィードパップ４０ｍｇ","科研製薬","包装小 140枚 (1枚×140)",""
"4987087041996","イソジンシュガーパスタ軟膏","塩野義製薬","調剤用 100Ｇ (1Ｇ×100)",""
"4987042143109","エクロックゲル５％","科研製薬","包装小 40Ｇ (40Ｇ×1本)",""
"4987497301925","オロパタジン点眼液０．１％「ニットー」","日東メディック","包装小 50ＭＬ (5ＭＬ×10瓶)",""
"4987641081345","クロベタゾン酪酸エステル軟膏０．０５％「テイコク」","帝國製薬","包装小 50Ｇ (5Ｇ×10本)",""
"4987376156202","ケトプロフェンテープ４０ｍｇ「日医工」","日医工","包装小 70枚 (1枚×70)",""
"4987497305626","シアノコバラミン点眼液０．０２％「ニットー」","日東メディック","包装小 10瓶 (1瓶×10)",""
"4987497305619","シアノコバラミン点眼液０．０２％「ニットー」","日東メディック","包装小 5瓶 (1瓶×5)",""
"4987188488027","ジクトルテープ７５ｍｇ","久光製薬","包装小 70枚 (1枚×70)",""
"4987188447048","ジクロフェナクＮａ坐剤５０ｍｇ「日新」","久光製薬","包装小 100個 (1個×100)",""
"4987211306168","スクロードパスタ","丸石製薬","調剤用 100Ｇ (1Ｇ×100)",""
"4987060008862","ナゾネックス点鼻液５０μｇ５６噴霧用","杏林製薬","包装小 5瓶 (1瓶×5)",""
"4987328145452","ネリザ軟膏","ジェイドルフ製薬","包装小 280Ｇ (2Ｇ×140本)",""
"4987938000226","ネリゾナユニバーサルクリーム０．１％","レオファーマ","包装小 100Ｇ (10Ｇ×10本)",""
"4987938000240","ネリゾナユニバーサルクリーム０．１％","レオファーマ","包装小 300Ｇ (30Ｇ×10本)",""
"4987286403625","フェノール・亜鉛華リニメント〈ハチ〉","健栄製薬","調剤用 500Ｇ (1Ｇ×500)",""
"4987901132404","フェノール・亜鉛華リニメント「ホエイ」","ヴィアトリス製薬","調剤用 500Ｇ (1Ｇ×500)",""
"4987047104020","ヘパリン類似物質外用泡状スプレー０．３％「ＰＰ」","サンファーマ","包装小 1000Ｇ (100Ｇ×10本)",""
"4987497301383","ヘパリン類似物質外用スプレー０．３％「ニットー」","日東メディック","包装小 1000Ｇ (100Ｇ×10本)",""
"4987376559706","ヘパリン類似物質ゲル０．３％「日医工」","日医工","包装小 250Ｇ (25Ｇ×10本)",""
"4987376616232","ヘパリン類似物質油性クリーム０．３％「日医工」","日医工","調剤用 100Ｇ (1Ｇ×100)",""
"4987120269813","マキサカルシトール軟膏２５μｇ／ｇ「タカタ」","高田製薬","包装小 100Ｇ (10Ｇ×10本)",""
"4987020004828","マキサカルシトール軟膏２５μｇ／ｇ「イワキ」","岩城製薬","包装小 10Ｇ (10Ｇ×1本)",""
"4987188412282","モーラステープＬ４０ｍｇ","久光製薬","包装小 280枚 (1枚×280)",""
"4987188412350","モーラステープ２０ｍｇ","久光製薬","包装小 350枚 (1枚×350)",""
"4987188407011","モーラスパップＸＲ１２０ｍｇ","久光製薬","包装小 280枚 (1枚×280)",""
"4987497307224","レボフロキサシン点眼液０．５％「ニットー」","日東メディック","包装小 50ＭＬ (5ＭＬ×10瓶)",""
"4987616005062","オゼンピック皮下注２ｍｇ","ノボノルディスクファーマ"," 2キット (1キット×2)",""
"9999999999999Vﾏｽｼﾞﾄﾞｳﾌﾞﾝｶﾂﾌﾞﾝﾎﾟｳｷ     CRESTAGE-LITE3*","◆ＣＲＥＳＴＡＧＥーＬＩＴＥ３","メディコム"," 1個 (1個×1)",""
"9999999999999SK ﾃﾝﾋﾞﾋﾞﾝ          7743         10MLX10","◆ＳＫ点鼻瓶１０ｍＬ×１０　７７４３","シンリョウ"," 10個 (1個×10)",""
"4987006251604","◆デスクワン－Ｄ",""," 10本 (1本×10)",""
"0480980578889","◆プラ壺深型５５ｍＬＡー５青５０個",""," 50個 (1個×50)",""
"9999999999999ｲﾂﾀｲｶﾞﾀﾃﾞﾝｼﾔｸﾚｷ 3ﾀﾞｲ       PHARNES X-MX*","◆ＰＨＡＲＮＥＳ　ＸーＭＸ",""," 1個 (1個×1)",""
"0480959601617","◆分包紙７０Wグラシン無地２００２４２",""," 6個 (1個×6)",""
"4534551013449","◆マービーチョコレートスプレッドスティックタイプ",""," 1個 (1個×1)",""
"4534551012169","◆マービー水ようかん",""," 1個 (1個×1)",""
"4534551013357","◆マービーピーナッツクリームスティックタイプ",""," 1個 (1個×1)",""
